"","IBD7_fpkm","IBD7_1_fpkm","IBD8_fpkm","IBD8_1_fpkm","IBD10_fpkm","IBD10_1_fpkm","hCO_wo_Tc_fpkm","hCO_wo_Tc_1_fpkm"
"aDC",0.0171872146712312,0.0336953058416977,0.0297527626598308,0.0139441274471756,0.137763650868658,0.0866934862281113,0,0
"Adipocytes",4.13134925865947e-20,0,0,1.11610693122926e-19,3.00207074165364e-20,0,4.13491078768184e-20,0
"Astrocytes",2.61206589762858e-20,6.81219712035758e-05,1.17288299573621e-18,0,0,0,7.30309881569323e-19,4.98629489406517e-19
"B-cells",0,0.000107956886749021,0.000562235643888279,0.00142816507768148,2.99765744231774e-19,0.00227535358840693,0,6.69146950016906e-20
"Basophils",0.00400142432705727,1.09162764974058e-19,0,0,0,3.57886621653488e-05,1.55784364996674e-20,0.00642803914823109
"CD4+ memory T-cells",0.00164673433282183,0.000987178673004918,0,2.98861619289101e-19,1.58792894015094e-18,1.22621412722465e-19,0,0
"CD4+ naive T-cells",0.00201602045627329,3.72488435928561e-19,0.000237002126779419,0.0151449892386411,5.13004468270388e-19,0,1.07609915272283e-18,1.8413639303435e-19
"CD4+ T-cells",0.00206885536021559,0.00130798648424917,8.76862571288582e-22,0.00807844458216924,0,3.60751487577476e-19,6.3934780546005e-20,0
"CD4+ Tcm",0.000633825116810831,0,0,1.78531700431108e-18,0,2.58408779447687e-19,0.00491824833474665,9.0395847006338e-20
"CD4+ Tem",0.0545627517603164,0.0398423795115996,0.0254087216509848,0.0680340555465699,0.0418293808360254,0.055657991361274,6.85972202638432e-05,2.3922197061952e-18
"CD8+ naive T-cells",0,0,0,0,0,0,0,2.41261712515487e-19
"CD8+ T-cells",0.00695247038467097,0.00385175377390834,0.00941057880029608,0.0269564194123967,0.0440015781201076,0.041770114642046,2.28882394546345e-20,0
"CD8+ Tcm",0.0191887183749527,0.0121659771381288,0.0150851003686484,0.0406871329869312,0.0575386596660734,0.0543881466318897,6.98305999501669e-19,6.86277774047217e-20
"CD8+ Tem",0.00258300143141763,0.00360223036874107,0.00224827354536219,0.00168867532486187,0.0478740244013665,0.0350602186203151,0,0
