"","CtrlBF_fpkm","CtrlBF_1_fpkm","CtrlDM_fpkm","CtrlDM_1_fpkm","CtrlTL_fpkm","CtrlTL_1_fpkm","hCO_wo_Tc_fpkm","hCO_wo_Tc_1_fpkm"
"aDC",0.018316939691999,0.0295045758041087,0.0742615771877942,0.025238750268132,0.197875479628731,0.106630656053016,4.84943887777178e-19,0
"Adipocytes",0,5.47569660732842e-20,0,1.38726886138846e-19,1.47514334247655e-19,0,0,0.000468232475747393
"Astrocytes",0,3.7248006849328e-20,4.54339687970529e-19,2.98081946246277e-19,0.00609218991091452,0.00333076124488042,1.70210379259477e-19,8.9121933521318e-19
"B-cells",0.00357376570320877,0.00197159975651083,4.0690314150693e-22,0,0.00127918435121413,0.00172594953593069,2.36571261112137e-19,0
"Basophils",0.00408431894912943,0.00272426011359537,0,0.019877737794598,0,0.00895471895000788,0.000967765584472578,0.00789312969897299
"CD4+ memory T-cells",0.00243708375443746,0.00256083413076104,0.00327812981011591,0,0.0073564442989059,0.00215481946892705,1.03575601171627e-19,5.33390438597951e-20
"CD4+ naive T-cells",0.0141786005240408,0.0013608452548481,0.00257103438108242,5.63684724608192e-19,0.0019550151941354,0.00370695067785145,1.31582675659963e-22,1.40913857828624e-19
"CD4+ T-cells",0.00550221523158728,0.00105491998884651,0.00271190936707359,0,0.00463952837139809,0.00309987018074194,0,1.40168856443916e-18
"CD4+ Tcm",0,2.96133387899784e-19,0,0,1.14177626828801e-18,0,0.00408557867534921,0
"CD4+ Tem",0.107089063318393,0.0644845553676444,0.0629441492128247,0.0401509018558036,0.0877978881546764,0.0483063301014931,7.38404915099095e-20,1.35162407840878e-18
"CD8+ naive T-cells",0.00112750222405255,6.48868300816224e-05,0.00309789527398336,0.000752975419240106,6.29194026489687e-21,0.001548178143139,5.27197727552041e-20,3.28841589621273e-19
"CD8+ T-cells",0.0603919917139792,0.0353226498852594,0.0352715396997902,0.0148261912729269,0.0367904061348768,0.0166605115585209,0,0
"CD8+ Tcm",0.0777412951260237,0.0516617755391619,0.0472821052243375,0.0284799680637143,0.0586087634472741,0.0284640135488791,3.09008374231677e-19,0
"CD8+ Tem",0.0233701090166256,0.0144461598421682,0.017424342756994,0.0094075210994694,0.0255544662747993,0.010534753488933,1.28681446310625e-18,3.81142998885761e-18
"cDC",9.98346168469162e-21,0.000155895620824213,0.00106889846052318,0.00567286117096571,0.00113217328445404,0.0017217983002791,2.08412426252796e-23,5.12544914367092e-21
"Chondrocytes",1.26760211858222e-19,0,0.00220581747079313,9.64375920519834e-19,0.00106522386145365,0.000371593244362416,0,2.48087937706069e-18
"Class-switched memory B-cells",0,0,0,0,0,0.000234353856299329,0.000310103521675981,0.000997277079711585
"CLP",7.54225818601712e-23,0.00188927362397821,0.00174157719188128,5.54977420804443e-21,0.0017644682999356,0.00103587653427509,0.000139767263716319,8.42904676818335e-22
"CMP",1.18142988959712e-18,0,0,0,0,0,8.06279750523336e-05,0.00135579821239803
"DC",1.89089126737441e-20,0,3.62763012004665e-05,8.17301611978655e-20,0.0023433062985227,0.00049561178570016,0,0
"Endothelial cells",0,3.91848095398498e-20,0,0,2.98280641298074e-19,0,7.93339772582873e-19,3.95121231797605e-19
"Eosinophils",1.50966046338104e-19,6.04352609823199e-19,0,0,0,5.60615642680201e-19,6.17987181550939e-21,0
"Epithelial cells",9.86482580419854e-20,0,0,4.37830881633379e-21,3.38063337125444e-21,2.22851338015992e-20,3.77436320910489e-20,2.50084655353599e-20
"Erythrocytes",1.80461631857752e-20,6.20017823668759e-21,0,0,4.47461847589945e-20,4.77544739254578e-21,0,0
