"","GG7_wo_T_fpkm","GG7_wo_T_1_fpkm","MN7_wo_T_fpkm","MN7_wo_T_1_fpkm","RN4_wo_T_fpkm","RN4_wo_T_1_fpkm"
"aDC",0.00154311720670419,2.14702235995058e-19,0.0021176199293347,0.00351675443919983,1.12664409562263e-18,0.00142880066078199
"Adipocytes",5.77301448050145e-22,2.40684751380778e-19,0,0,0.00136834497472783,0.00113271619059167
"Astrocytes",1.31291129251434e-18,2.36428215747064e-18,2.20315529366336e-19,1.11055217329276e-18,0,0
"B-cells",2.12719088064951e-21,0,1.02993560277622e-19,3.8426224036032e-21,0,0
"Basophils",0.016262548051662,0.0101541350208427,0.00888580208559787,0.00204124199773994,0,5.30007421242803e-19
"CD4+ memory T-cells",0,4.8666164199843e-19,0,0,1.37187242707938e-19,0
"CD4+ naive T-cells",7.13594765962442e-19,7.73363186927099e-20,0,0,1.08578625047886e-19,1.24455657421465e-19
"CD4+ T-cells",8.76243590722779e-19,0,2.25575697355801e-25,0.00137418741213157,0,1.00859678477869e-19
"CD4+ Tcm",0,0,0.00981246459089847,0.0101144613648571,6.25134244371445e-20,0.000618416004307135
"CD4+ Tem",0,1.96135985889464e-19,1.20757036271787e-19,0,8.12442825198645e-20,2.91290851526143e-05
"CD8+ naive T-cells",3.04097618679949e-19,1.93045813810274e-19,9.68213422852484e-05,0.00116420913467773,0,1.03512625665773e-20
"CD8+ T-cells",9.43472952522e-19,0,1.64406874672341e-19,0.00115009504130938,0,0
"CD8+ Tcm",8.96490463622588e-19,0,1.76377479530182e-19,1.74824947868099e-19,1.21916546612358e-19,2.78278024967091e-05
"CD8+ Tem",1.41556478640196e-18,0,5.0840141240929e-19,2.80976423230674e-19,0,0
"cDC",4.49316345422409e-20,1.766647424484e-23,8.69985777798805e-05,1.23804742777628e-20,0.00262041722171476,0.00254050081294145
"Chondrocytes",2.97300035297207e-18,1.94033192065545e-18,0,0,0.013811904091873,0.0197175124471135
"Class-switched memory B-cells",0.00190422702920271,0.00188480250199244,3.71051352641857e-19,0,7.36906897771189e-19,0
"CLP",0.000399792233114777,0.00238404651350332,0.000918106581146465,0,0.00363031774567397,0.00552335298413349
"CMP",0,5.79923696707825e-19,5.85388638634262e-05,0.000421256295581289,2.47775132439209e-19,0
"DC",5.09539157569377e-19,0,2.15148148042234e-20,1.52040138934109e-21,3.6327047333104e-19,0
"Endothelial cells",0,0,0,6.33216616103831e-20,0,0
"Eosinophils",0,0,0.000514294908479753,0.00104051224521646,1.51294475423532e-18,0
"Epithelial cells",0,0,0,0,0,0
