"","GG7_wo_T_fpkm","GG7_wo_T_1_fpkm","MN7_wo_T_fpkm","MN7_wo_T_1_fpkm","RN4_wo_T_fpkm","RN4_wo_T_1_fpkm"
"Erythrocytes",0,6.20878738510778e-20,0,5.37514768903842e-21,3.79567129917432e-20,1.45491214604567e-19
"Fibroblasts",0,0,0,0.000910575888398524,0.0679274209938154,0.0561530881543515
"GMP",0,0,0.000231679452774432,0.000827841982359899,0,5.37324797298257e-20
"Hepatocytes",1.18201918423459e-18,0,9.85341326816283e-05,0.000112477667016229,0,0
"HSC",2.00735710480123e-19,0.00107662553347522,0,4.8394687633473e-05,0.0168102052911645,0.0187944951272159
"iDC",5.34879519540201e-20,1.13281363799982e-20,0.000999815878667183,2.74985417299758e-19,0,0
"Keratinocytes",4.20629841527482e-20,0,1.31076799491427e-20,7.08654199362548e-21,1.7054383302661e-20,0
"ly Endothelial cells",1.52113232280508e-19,0,9.22852138966854e-05,1.19990857532042e-05,0,2.53219306174889e-20
"Macrophages",0.00072802542957844,0.00135635218091564,0,0,3.22555286600893e-21,0.000334895813795759
"Macrophages M1",0.00230708762357386,0.0029548730253641,5.62449726434241e-20,0,0.00232584434381828,0.00137091271041188
"Macrophages M2",0.000663418900894455,0.000477489727705997,1.17634342985921e-20,4.99483395551937e-20,0,8.7212856956236e-20
"Mast cells",0,9.02573918178609e-20,8.45358885376572e-05,1.47901147442944e-05,0,0
"Megakaryocytes",1.54008916157044e-20,4.65676022920654e-20,8.47840822263004e-21,0,1.93675455083793e-22,0
"Melanocytes",0,2.02308117425279e-19,0,8.80848573351497e-05,3.63914913961997e-20,0
"Memory B-cells",0,1.34477500230975e-20,0.00126083085291528,0.00246430730260028,9.94532362019927e-19,0
"MEP",0.00188917658380163,0.000640406635266582,0.000131900461815423,0,0.00214353730381661,2.89270038224755e-20
"Mesangial cells",0,3.65906156014583e-19,1.10916763188813e-19,0,0.00286035174962201,0.0029306879227522
"Monocytes",3.33377721462098e-18,7.38397649941779e-19,0,0,0,0
"MPP",0,1.4747783062828e-20,0,5.37130216972407e-22,0,2.78228924881942e-18
"MSC",8.13273840321761e-19,1.44579301045607e-19,2.022847020948e-18,0.0048911376648106,0.010232083592269,7.88857032493933e-19
"mv Endothelial cells",0,2.03360028393448e-20,0.00015659771289407,0.000116540160013066,3.90433106704056e-19,6.18081551660013e-20
"Myocytes",0,3.99484443579436e-20,5.93201890811277e-20,2.51401048097496e-20,0.00422835312883864,0.00283473711136899
"naive B-cells",0,3.15642547952653e-19,0.000645142359363964,0,1.05330736815845e-18,1.24769364642281e-18
"Neurons",7.68708641189868e-06,0,0.000456978155778898,0.000427790142131938,0,0
"Neutrophils",0,6.51679585711996e-20,9.59469362578498e-05,0,0,2.13821215259252e-19
"NK cells",4.01730100850837e-18,2.82280007752574e-18,0,0,0,0
"NKT",0,0,0.00149347690058095,0.00255436743046781,0.00536711570088109,0.00101794180899211
"Osteoblast",8.87425670976932e-18,5.12449760888213e-18,0.0103344578649309,0.0096965063320478,1.28277106644008e-19,6.25400225632018e-05
"pDC",0,9.00458022524349e-21,0.00152552528106687,0.00181182137567187,0,7.65838025240665e-19
"Pericytes",3.17880479658319e-18,0,0.0055285885991867,0.010844390595001,3.6455588994034e-18,2.73826823472228e-19
"Plasma cells",0,0.00042812263387094,6.19874140483342e-05,0.0005849613460351,0.000508928975088368,0.000915074927583156
"Platelets",0,4.10625842784879e-19,0,7.86330144377476e-20,0,8.86793144422431e-19
"Preadipocytes",4.76880865781689e-18,0,1.38101942721163e-18,0.00475337842697682,0,0
"pro B-cells",0.00069826208909921,0.000244993350634207,0.000779167070391269,0.000664794847708003,4.30691819095535e-20,0
"Sebocytes",0,1.72717538823366e-20,0,8.0021033980221e-22,0,0
"Skeletal muscle",0,0,0,1.62138281521902e-21,5.78971911364086e-19,0
"Smooth muscle",0.0570176891352064,0.0538772500737266,0.00577429217971101,0,0.0764942028483671,0.0821337400361098
"Tgd cells",0,2.70378988976686e-19,1.89332073934349e-19,0,7.98082823486802e-20,0
"Th1 cells",0.000355191174608524,0.000947473540613222,0.00108758579195014,0.000865060834943222,5.59511235349279e-20,9.30473715688012e-20
"Th2 cells",0.000720536855521285,0.00207758306673522,4.6676379744968e-20,0,1.87236308473814e-19,0
"Tregs",1.33957536489979e-19,0,0.00114843271865381,0.00195553442462137,1.47665242690148e-19,2.99662635222312e-20
"ImmuneScore",0.000485350286385633,0.000904234787277093,0.00046318515551684,0.00238638987560114,1.25296052028824e-18,0.000223263875863839
"StromaScore",2.88650724025072e-22,1.20342375690389e-19,0,0.000455287944199262,0.0346478829842716,0.0286429021724716
"MicroenvironmentScore",0.000485350286385633,0.000904234787277093,0.00046318515551684,0.0028416778198004,0.0346478829842716,0.0288661660483354
