"","IBD7_fpkm","IBD7_1_fpkm","IBD8_fpkm","IBD8_1_fpkm","IBD10_fpkm","IBD10_1_fpkm","CtrlBF_fpkm","CtrlBF_1_fpkm","CtrlDM_fpkm","CtrlDM_1_fpkm","CtrlTL_fpkm","CtrlTL_1_fpkm"
"aDC",0,0.00486900578556502,0,2.57071686825346e-19,0.0803779821559985,0.0413659125072638,1.02031798096466e-21,0,0.00749457999188193,4.41657437170798e-20,0.0470184993083875,0.0178359074896728
"Adipocytes",8.02800341331765e-05,0.000535539170560525,9.37296952532736e-23,0.000273403614123609,0,0,0,0,0.000262443839646668,3.29334796366813e-21,0.000362100038889925,0
"Astrocytes",0.00442484138896177,0.0122068061491049,1.39862787214726e-19,0.000546687700934919,0.00255127278663799,0.00680400956791211,0,1.7580446031025e-19,0,0,0.00591463662642066,0.00341612153153934
"B-cells",0,1.55056202263473e-21,1.25215656255823e-20,0.000625924024018756,0,0.00120889899746228,0.00339721223576707,0.00167630766808438,8.78486716536043e-06,1.88677075587709e-19,0.00191897364075019,0.00146504955003923
"Basophils",0.00572307295064603,0,0.000471226040172384,1.7066897787031e-18,0.000771257584007627,0.00468331985461008,0.00558119264140623,0.00356470242434946,8.53185762531794e-19,0.0206602827892969,0,0.00893925715354288
"CD4+ memory T-cells",5.82985155426512e-22,0,2.45246622572981e-20,0,3.66841539179307e-20,0,2.87501301722513e-19,0.000253322403328888,0.000565913224148677,0,0.00328707496775896,0.000143193118843762
"CD4+ naive T-cells",1.09873575525703e-19,0,0,0.00565960742097036,0,5.63010836296387e-19,0.00263481698441117,1.44878384062216e-19,5.19900165256885e-19,0,1.48183496235222e-19,2.01188733156414e-19
"CD4+ T-cells",0,2.67491447579535e-20,0,0.00260715415127914,0,0,0.00185337362477105,1.08090015808215e-19,0.000377935828360249,8.82287776975599e-19,0.00192417760065965,0.000337282539994906
"CD4+ Tcm",0.00133477296987906,0,1.70287669845633e-19,0.000281016588729066,0,0,0.00409192547958933,1.66190930356872e-18,9.25250992085837e-08,3.47776932985835e-19,1.80323970248216e-19,2.96008252060761e-21
"CD4+ Tem",0.0130184224461457,0.0039640679808462,9.68031717479888e-19,0.0241059824614598,0.00187193234369082,0.0129265574820221,0.0548621037267411,0.0211284194816385,0.0205880326601058,0.00309690873616333,0.0393001212927469,0.00935987549642342
