gene_name,MN7_with_T_fpkm,RN4_with_T_fpkm,RN4_with_T_1_fpkm,MN7_wo_T_fpkm,MN7_wo_T_1_fpkm,RN4_wo_T_fpkm,RN4_wo_T_1_fpkm
HLA-B,303.211357498373,298.741448024627,300.934608476651,33.5128603139166,30.5235721919227,35.5924454558192,34.3766628438829
BST2,39.3537619170777,36.8945290274062,36.0931790394144,2.68174031212919,2.73347459280495,3.24578547206845,2.60359443790802
GBP1,9.75737927390255,7.97970473058863,7.88738088360844,0.0218594653938852,0.0188532918475637,0.0843560466193932,0.10354516883856
SOCS3,17.9174764330656,19.1144308200587,18.5758970665512,2.65422202190098,2.5473872841349,3.42706467085195,2.80156579448232
STAT1,107.255886080245,87.2299623264932,84.699111213718,10.4200853825123,10.8917893356316,13.9139396902036,14.2299548841229
TAP1,30.7867935522131,23.8244285593872,24.6358026236114,2.65709194501856,2.77156338309675,4.19571702261436,4.15630366489244
NLRC5,7.16303245976691,4.26602378884775,4.17198101140934,0.378836218600825,0.231755756785295,0.446230274059635,0.402148563490025
ARHGDIB,5.56758942816471,6.3016174887399,6.09304587222093,0.12978407617302,0.335807443754893,0.400671155779268,0.178841789755936
BTN3A1,26.8520284006148,22.6071591928387,23.1692178380686,6.45252641225494,6.52378958918661,7.78137766976945,7.869901200654
AL671883.2,14.7500271656318,13.7809445191986,13.5636944069026,1.98204250497775,1.42455549298241,1.64660279092386,1.04318361824842
HLA-DRA,8.99847199704346,23.510592426804,23.0334383774942,0.0852519150361522,0.147055676410997,0.123370718180863,0.183557344759266
IFI27,4.4729055664592,5.11175168668562,5.19829200633985,0.855191624187107,0.760278201652225,0.863128953497491,1.13312467466535
SERPING1,25.0351236805345,28.1296799695823,28.5783764569339,6.37531945249538,5.79896489161101,8.37126649482578,7.6817959123456
SELL,3.44594961675955,4.96736086408994,4.44408800594242,0.0200224681185825,0.189958158152921,0.0579502823014694,0.120710004333433
RAC2,3.08746750414048,3.12167899597223,2.95484086067092,0.215486673077162,0.130096648957596,0.187102510985194,0.167028484330707
LAPTM5,3.91363650235852,3.07127600332291,2.67249069238942,0.0999900286312843,0.244344190493532,0.0964658028536983,0.143526818137972
PTPRC,1.61960765143699,1.13897274861449,1.3070824683057,0.0238050722614038,0.0205313335303312,0,0.0102510209987723
CD7,3.38261100158312,2.81043781455807,3.26871888374135,0.0199492598256444,0.154852046824011,0.230953593084467,0.0859061796313933
VGF,220.080971919801,218.965124020652,232.746615089401,99.8002300044518,95.9081458817757,114.231064975984,111.307436041004
IFITM1,27.8399847595573,21.8886657917376,20.8997953003914,2.62702197444736,3.39862007705415,4.82516586662929,5.13416691711844
GBP3,2.9819050287926,3.93764788068568,3.89542065933614,0.101580126829206,0.0438052747977836,0.30624955253957,0.251520978809067
PRPH,21.4017945714568,13.0158678675167,13.6333621609659,2.05560326262222,1.79453193911145,3.22866809445529,3.14134802554245
ITK,0.720416728248603,0.570295345601912,0.648482201037014,0.0380482744931223,0.0656315431680879,0.048942978233846,0.0382304465142498
IL2RB,1.40740008061081,1.0028614662446,1.21411672435934,0.0928701712734254,0.080098410981309,0.100796501662662,0.0599881024574964
IL32,2.43610711140034,1.83037783253503,1.97581406616422,0.017002563297955,0,0.131226358592711,0.0878604180586578
HCP5,3.65576384664403,4.45994820821924,4.40473052821534,0.0521617835785253,0.0749805870801769,0.285165373657911,0.359393348056384
PSMB9,5.55628541986117,5.58651961948824,5.92347384797566,0.142086525060254,0.199137895139892,0.582583946965184,0.611857815864221
SPN,0.770744550248962,0.769481197831984,0.781597463813614,0,0.0318733517011102,0.0213918340925906,0.0636557575973614
TRBC2,8.05534448411304,7.20681584091074,7.52816438586924,0.43188305242589,0.0620815520468589,0.0694435001193949,0.0619929818712034
LSP1,1.21661847998225,0.931224081763216,0.998208786362815,0.0707406148105134,0,0.0487480765794604,0.043517948007383
MYO1G,0.646657392516465,0.623191804129047,0.697464402977901,0.0187560074331858,0.086275359599439,0.0482531665777485,0.0430761363661026
ITGAL,0.686139017750049,0.855265915596229,0.803324724570953,0.0505821003922782,0.0145419704732754,0,0.0290424476256935
HLA-DPA1,1.03008390695391,1.87972775764438,1.7538649735439,0.056953262654632,0.024560446999749,0.119049452014008,0.138977307653501
IRF1,3.55870281677003,2.95984277487179,2.89418886067736,0.531690363810546,0.253420732268727,0.71543099725518,0.530219241279234
AL671277.1,12.7638210396595,9.63940279894881,8.87526525706563,1.04397108443063,1.04256995159458,2.17337874794618,1.75091155041266
IFI6,68.8777810581319,120.131120699049,123.582578640569,20.3737293367323,20.9992105783657,29.8790092340303,25.6411573201753
TRIM69,8.04321186989225,9.10248007080347,9.15643632884347,3.47448711469521,3.92106144636511,4.40876657509218,4.32628713010161
