gene_name,IBD7_fpkm,IBD7_1_fpkm,IBD8_fpkm,IBD8_1_fpkm,IBD10_fpkm,IBD10_1_fpkm,hCO_wo_Tc_fpkm,hCO_wo_Tc_1_fpkm
CD38,0.362888164,0.394029838,0.428073796,0.857196031,0.968977554,1.098371481,0.041103419,0
VAV1,0.669768328,0.906283881,0.454424448,1.198116466,1.815917436,1.485971069,0.065450391,0
OSTF1,5.529329882,6.962587888,5.283782374,4.702447017,6.236758164,7.553929697,2.136193589,1.670573891
GFAP,5.126084762,3.762025091,2.635185705,3.499013796,11.13877951,1.566050384,0.228017057,0.119707884
CD3G,1.53278883,1.236153913,1.402455015,1.770108314,2.171135006,1.667650014,0,0
SPON2,1.372743001,2.006452619,1.39288169,2.280201317,1.521036552,1.289835808,0.178064685,0.549680765
ATXN1,1.974264264,1.819722347,1.994106329,1.990362792,2.226008706,1.960999775,1.132623945,1.298934039
CD8B,2.153475955,1.577880929,3.673304921,5.078871155,5.345231598,5.345296819,0,0
HCLS1,2.764096857,2.439611794,2.448732567,3.320253087,4.17347175,3.701481846,0.011064753,0
IGSF9,11.25096781,12.02651038,12.06452174,11.12132528,10.82336817,11.39405722,15.89917192,15.75644006
GBP1,4.700035153,4.280549034,12.0505089,5.244630511,59.72334275,38.55754789,0.079020334,0.151006508
ARHGAP25,0.85032626,0.693599477,0.291542831,1.005931806,1.546343313,1.214884751,0.020672336,0.095722394
BCL3,2.162401136,2.44390869,2.526833662,2.718728621,3.62487178,3.789237178,0.869105288,0.894301342
CALHM2,0.909529062,1.274638348,1.101518722,1.239413159,1.759059749,1.475397608,0.27197291,0.111943048
LPAR6,1.690368547,0.980150731,0.970162361,1.36646011,2.326770123,2.0441614,0.10368498,0.346745394
ANXA2,3.735344326,6.836355166,4.198479053,4.839019254,7.73604135,6.69792169,1.117604001,1.577148658
ITPR3,0.950864255,1.22237078,1.034389693,1.197309762,1.785993056,1.720715887,0.456760177,0.352501514
RHOH,0.350785319,0.39059122,0.47182941,0.711389684,0.664976413,1.00235346,0.025583892,0.008775197
GBP3,1.381502043,1.508629017,2.703168471,1.929671881,10.90389864,6.455587807,0.013114449,0.040483942
CCR7,2.88542655,2.441162526,1.60879708,4.529672648,1.263112349,2.798976288,0,0
SYNE3,0.638072392,0.581601114,0.434173271,0.621841513,0.708870448,0.7604723,0.18614662,0.258583265
RARRES3,3.220699121,7.208410362,7.906513133,6.282694801,29.06786343,18.17322361,0.130145004,0.223196686
IL2RA,1.498312539,0.939293406,1.110971431,1.664378143,2.063399567,1.500306166,0,0
DDX3Y,0.926178928,0.679949827,1.203934239,1.911585991,3.312533047,2.752635621,0,0
GIMAP4,2.500694787,2.49073094,2.3974231,3.60239922,8.457574209,7.486251835,0,0
MTCO1P12,10.40590844,10.69771005,8.835350912,9.182034263,7.251970228,8.62197983,16.14253519,24.57755693
DOCK2,0.881641427,0.876957499,0.74508861,1.067569198,1.694139298,1.517069617,0,0.004389591
GIMAP6,0.982486634,1.119791244,0.968649609,1.835388214,2.206757851,1.895250038,0,0
APOBEC3G,0.96705506,1.115028828,0.978238578,1.212850138,3.68387222,3.050797302,0.031094052,0
