gene_name,IBD7_fpkm,IBD7_1_fpkm,IBD8_fpkm,IBD8_1_fpkm,IBD10_fpkm,IBD10_1_fpkm,hCO_wo_Tc_fpkm,hCO_wo_Tc_1_fpkm
FAM107A,3.219414945,3.812830476,3.090607734,3.509278821,4.407550026,3.745022842,8.144200922,9.840595488
IQGAP2,11.07980386,10.49506582,10.20967378,10.11892224,11.46791612,11.00859773,4.292051834,6.140523742
HCP5,5.513102581,5.221962669,5.02633734,7.032485773,12.065438,14.21603043,0.053874557,0.018478808
CD74,10.40524099,13.96912501,18.66285457,14.35390548,74.92532554,41.7652441,0.088493698,0.109271041
LTB,10.60746712,8.720081385,7.089187916,12.50501024,9.05395534,15.04724006,0.036711913,0.075552442
WIPF1,4.165377852,3.830051238,3.639504325,5.039359074,6.806308752,6.423961957,1.105925759,1.385928821
TCF7,1.056228697,0.94243991,0.838371449,1.433870409,0.949493416,1.119516941,0.111999974,0.242018579
B2M,119.7688456,111.1118121,138.0876662,127.1641405,329.6081181,294.4750628,4.45890615,6.801180093
FYB1,1.692895651,1.200477572,1.243409269,2.471420459,2.159266044,2.270858892,0,0.01965644
CCDC80,1.976673644,3.958425778,2.600463982,2.76224005,3.608034737,3.807019723,0.582023275,0.887254212
TMEM173,1.600638853,1.683786724,1.222685781,2.035005643,2.999338853,2.4262094,0.131733788,0.135552855
RAC2,12.01285294,11.61599546,7.82287111,15.93565339,18.38368201,16.88061701,0,0.045802922
CYTIP,2.078056341,1.856047588,1.729879241,2.418844829,5.26152594,4.425874013,0.115072785,0.067662193
AL671277.1,11.2161695,13.4192357,14.529398,15.25400336,30.71870521,27.30809036,0.908000594,0.525557393
GPSM3,5.33649252,4.40304611,2.901735402,6.514890188,5.59453676,7.328356333,0.699090668,0.562975718
PTP4A3,17.58776927,16.79500253,18.78439747,19.51657885,16.72972741,15.66311989,9.480274191,7.538043317
BIRC3,0.947536198,0.846306349,0.658669515,0.642649982,1.379658307,1.347894111,0.052470006,0.03856511
S100A11,24.27736372,26.21631168,17.26144632,13.73005339,30.80723828,28.13927177,4.060715525,4.263713161
SELL,7.40677745,4.493530728,4.150401275,8.337922202,3.675085002,4.528924214,0,0.063838348
STAT6,1.828250623,2.261793178,1.365427393,2.308133627,2.53444304,2.451253856,0.355197067,0.564132835
IL1R1,0.92590906,1.254205002,0.77680164,0.783514044,0.981068858,0.75130396,0.087516682,0.122800718
IFITM3,44.83481676,34.15305258,27.43786712,30.12628593,92.6000878,58.58539761,2.508284282,1.849717698
LOXL2,4.071566529,5.311382283,4.01705947,6.189199671,5.765750144,6.61641942,1.323159881,1.818745982
C3,2.104498224,4.987574926,1.769135886,1.93642793,7.95137267,5.091504917,0.006766665,0.006962836
SPOCK2,10.19874362,9.484668287,11.73547549,11.38023751,12.62400278,12.37542847,3.603009665,5.649468619
ITGA4,0.97316041,0.995206695,1.0136175,1.330420461,1.991803441,1.726792076,0.21397084,0.095408744
ICAM3,2.644750187,2.258525601,1.98945483,3.873121615,5.092172863,4.394591716,0.382052792,0.235877284
TGM2,2.251322109,2.957871568,1.871457828,2.68926232,5.881385254,5.297646542,0.091163045,0.165964345
TGFBR3,1.915935245,1.696252054,1.236029279,2.400083239,1.872404738,1.944497903,0.407837516,0.53290292
CFI,0.869789638,1.046570191,1.316738533,0.964279597,1.184354316,1.021911105,0.080916822,0.047578666
CARD11,1.14105609,1.466485243,0.935132528,2.274808021,2.07332313,2.152850633,0.035916371,0.036957616
TMC6,1.049988299,1.585588672,0.937923687,1.566532586,2.056999792,2.004815627,0.208015824,0.280935859
RCSD1,1.087617333,1.469629766,1.101229761,2.614787695,2.135657345,1.930614336,0,0.040564183
GRAP2,1.004684315,0.727268319,1.106145456,1.434476245,1.617868599,1.719381567,0.018207686,0.028103311
PTPN22,1.180194246,0.986401736,1.045378693,1.594908745,2.201291754,1.998942233,0.050057994,0.10301843
HLA-B,174.0006901,173.1072133,217.5066233,227.1339099,482.2617996,467.5880457,13.53870625,14.72944501
LCK,4.808720191,5.195238369,4.046324612,6.746022374,8.095004168,7.120950021,0,0.034732854
MAP4K1,1.673349405,2.004338977,1.469202494,2.378377452,2.300758376,2.806947717,0.399159634,0.146689853
IFITM1,47.79413525,57.85634964,51.34148163,51.44591618,116.3355901,99.4371439,5.426564662,6.872473955
GYPC,2.135684945,1.858031919,1.828255234,2.774643711,3.19008231,3.014728539,0.487838921,0.380289212
FBLN5,2.819426697,3.089908088,4.450153355,2.888346704,5.157783181,2.367826856,0.747895422,0.606333792
PTPN6,1.20770352,1.078488535,1.061825344,2.111587508,2.325742553,1.514463577,0.011250307,0.150494008
JUNB,19.78771426,17.7103422,15.08203065,19.26406784,21.50478997,23.32893654,8.452918032,5.639346331
FAM78A,1.542180209,1.46266589,1.489724447,1.543493247,2.350794279,2.120745563,0.379169506,0.358527181
IL13RA1,2.896646187,3.96772665,2.810611184,3.001656596,3.798228003,3.185370987,0.928042236,1.153894193
IRF4,0.738097175,1.027875846,0.673741741,1.239819194,1.775934387,1.574142868,0.057327352,0.049157764
MYH9,23.33095852,23.73114508,19.99821173,22.56017823,27.35041622,26.88609026,13.22527122,12.52127464
CRYBG1,0.397836113,0.503381284,0.447870249,0.623065999,0.70924139,0.562077301,0.005432117,0.039127192
DOCK8,1.066413587,0.897048679,1.024522691,1.78097442,2.21297695,1.967276098,0.004088275,0.004206798
TMBIM1,1.153349932,1.189174527,1.355075454,1.447183871,1.443246406,1.743431497,0.176862415,0.329856507
WAS,2.232009529,2.798257255,2.721644115,3.838961366,3.497889072,3.043376204,0.49702164,0.58449222
TNFRSF14,1.381817273,0.839697289,0.66845661,1.543269877,2.045769097,1.893423855,0.108736685,0.111889048
TNFRSF1B,2.732238826,2.199494224,2.532381596,3.328633765,6.851550864,6.373685165,0.074817826,0.123178968
SCN1A,1.191046179,1.232639546,1.352847775,1.067229124,1.399035073,1.316236973,0.269360069,0.537228865
SYTL3,2.674543069,2.176280129,2.19543027,2.998459482,4.340246278,3.733703923,0.40863554,0.520597021
STAT5A,0.953080234,1.053599537,0.733101485,1.202765906,2.086775977,1.288862252,0.048968358,0.120931176
NLRC3,1.505154967,0.915709784,1.024086206,2.206922936,1.971656058,2.133728877,0.025285426,0
ITGAL,4.166846064,3.403702633,3.495007254,6.35546223,7.010553064,6.446649308,0,0
EPSTI1,0.998915598,1.097105823,0.869090218,1.24639274,2.69794522,2.14995133,0.05722257,0.070657797
