"","MN7_with_T_fpkm","RN4_with_T_fpkm","RN4_with_T_1_fpkm","MN7_wo_T_fpkm","MN7_wo_T_1_fpkm","RN4_wo_T_fpkm","RN4_wo_T_1_fpkm"
"Myocytes",0,1.12286402733422e-21,4.23575986055805e-19,0.000321763621776537,0.000560645672421298,0.00525719925979097,0.00337416530020833
"naive B-cells",0,0,0,8.89785945890219e-21,2.58315062054386e-20,1.45977651853061e-18,6.87999127979565e-19
"Neurons",0.00013618022410079,0,2.90335479158084e-06,0.000461322792760594,0.000428807691966914,0,0
"Neutrophils",2.29288466166832e-21,0,0,0,3.3881317890172e-21,7.15030690558447e-19,0
"NK cells",0.000358628591508559,3.0331689139201e-20,6.13370648857805e-19,4.80594067350095e-19,3.4135956180266e-20,0,1.00393075931093e-19
"NKT",0,0.0113573237210442,0.0139107683927512,0.0018650067128853,0.00234995299034217,0.00645905391456352,0.000139128231857542
"Osteoblast",0,0,0,1.47094582445926e-20,0,0,0
"pDC",0.00170580669606556,0.00165578210147793,0.00102369565263785,0.00110010445842503,0.0013090064398746,2.02170310289984e-19,1.12056641572197e-18
"Pericytes",0.000125071508672638,0,1.18610975870511e-18,0.00204907710468604,0.00624755140010687,1.4716624953397e-19,0
"Plasma cells",0.000286389889176109,0,0.000277220452316724,0.000103954064199151,0.000830351859654944,0.000929737793561444,0.00132701415589382
"Platelets",1.38216458442768e-19,6.73268577876169e-19,0,2.1955314932074e-19,0,3.63029470382982e-19,3.0490997031166e-19
"Preadipocytes",0.00261404591995069,1.8919372407675e-20,0,4.75358058098239e-19,0.00490826785067469,0,0
"pro B-cells",0.000522986862468916,0,0,0.000930907089472131,0.00086448516606846,1.15295493589864e-18,0
"Sebocytes",7.09932518027932e-23,3.24414260228665e-21,0,0,0,0,0
"Skeletal muscle",1.24155196333868e-20,0,4.40100435912523e-19,1.27525411709426e-19,3.00227273585345e-20,2.06691326096059e-18,2.74072319427779e-18
"Smooth muscle",1.02566439263809e-19,0.0553171356062035,0.05555358245012,0.00570409432310846,0,0.0760781039656348,0.0786909052138559
"Tgd cells",4.3224736473054e-19,6.20114806634019e-19,0,6.4405639756691e-20,0,0,5.59550514521826e-21
"Th1 cells",9.39371059281485e-05,0.000436056830514189,0.000463704730887317,0.000168798948092786,0.000837113076114856,0,3.06853754890491e-20
"Th2 cells",0,0,0,0.000196040919130592,6.27140387310724e-20,0,0
"Tregs",0.00483242331889025,0.00230978568151224,0.00362082152440351,0.000791806338884812,0.00141183333925775,0,4.04618040939443e-19
"ImmuneScore",0.00400958091115287,0.000141095476336435,0.000219170858859748,3.27530348249748e-05,0.00093097142062935,7.8288219848554e-19,8.2642452418169e-05
"StromaScore",0.000436352869185094,0.00598882732310434,0.00918292245508866,2.86492615585645e-19,0.000669385268767731,0.0364592274940005,0.0302863844200741
"MicroenvironmentScore",0.00444593378033797,0.00612992279944078,0.0094020933139484,3.27530348249751e-05,0.00160035668939708,0.0364592274940005,0.0303690268724923
