gene_name,CtrlBF_fpkm,CtrlBF_1_fpkm,CtrlDM_fpkm,CtrlDM_1_fpkm,CtrlTL_fpkm,CtrlTL_1_fpkm,hCO_wo_Tc_fpkm,hCO_wo_Tc_1_fpkm
B2M,236.4870795,243.6759809,252.9668042,251.6152236,298.8014162,249.7756319,4.45890615,6.801180093
HLA-B,355.7318724,390.6624647,407.4245569,400.5088219,405.6068055,332.201778,13.53870625,14.72944501
HLA-A,367.0257242,390.6886621,356.876315,375.8995691,418.9782492,331.045078,11.76962265,15.74836283
HLA-E,236.4840044,240.3719117,234.4015726,249.0714281,251.3261725,242.3771767,7.368482049,8.478698172
STAT1,125.629983,137.9335343,127.4766031,124.0282141,125.5135848,142.6610099,8.900258426,9.187023383
HLA-C,274.2856396,282.3725787,298.575953,290.0961238,262.0787485,217.442894,6.136542009,5.620550162
TAP1,69.12608448,68.00128104,69.96898374,66.66554748,72.46037566,72.09808644,2.14621436,2.160163022
NLRC5,15.95306483,13.94403678,12.66735917,11.43221237,11.78469101,12.95966815,0.077345178,0.060861011
BTN3A2,18.13608854,15.49751746,14.45802856,16.62359734,13.24869829,15.84034555,0.44013111,0.839906688
BST2,97.14854875,119.2105425,88.88428578,119.0383632,151.9588151,100.1568737,3.122317057,3.575575005
TRIM22,12.68626268,12.70165054,13.82817891,12.23706854,14.95630277,14.6911235,1.507109416,1.04992166
GBP1,27.48150072,31.80431084,23.56930286,31.81172892,33.24647951,37.2656552,0.079020334,0.151006508
IFI16,15.9172141,19.87289904,18.78759271,16.48383512,24.18455499,19.41995139,1.373160088,1.621080818
PARP9,5.894832303,6.206405131,5.837493649,5.93345884,7.765574139,7.434293777,0.126097084,0.214092019
PRPH,57.63093148,70.26320812,53.4469412,80.73204897,55.03698952,56.00689764,1.28162782,0.626089008
PSRC1,47.703516,52.1191344,43.27067013,46.4906988,55.40863325,47.55487475,10.3033817,10.7848795
PARP14,6.758734273,7.151449524,7.247840655,6.771390597,7.414052181,10.27659984,0.536948898,0.674068878
PSMB8,20.624112,20.64258193,17.47120328,17.10362618,26.27660159,18.76644557,0.206833719,0.348267261
TAP2,7.632243304,7.696487754,7.971465555,7.744269201,6.544723081,6.883519778,1.146457323,0.934680657
IRF1,6.695754974,6.357643731,6.086892621,6.254187102,9.156955496,9.963848542,0.216769279,0.237923832
APOL6,8.620499129,9.191310109,7.925392388,7.290326887,8.487180568,9.09759055,0.022271628,0.051563926
DTX3L,6.607093265,6.699768642,5.400314498,6.287099388,7.543638974,8.475316131,0.326515807,0.217399962
BTN3A1,39.43815199,38.34135214,36.09568732,33.37188537,26.38207712,31.54937878,5.181164829,6.157210728
CD74,28.65091877,20.03099087,23.59852314,24.08367502,29.40038709,22.14020144,0.088493698,0.109271041
DACT2,8.266853926,7.879147945,6.316774675,8.260127892,11.04633358,7.499336442,0.520425927,0.480589028
PSMB9,20.4251627,20.9906939,19.50263724,19.28423217,24.92072957,21.74466254,0.128408043,0.037751627
CSF1,6.583818476,6.206351078,5.75745739,6.798371409,8.158614559,6.873609949,0.998498992,1.12376936
SOCS3,17.795567,16.36824541,16.86541217,21.7331858,27.4512383,23.5534207,1.752006907,2.269405776
CD8A,9.671115346,7.923370842,9.810175058,7.353758327,10.92157033,6.358599305,0.372170304,0.51061309
LCP1,27.70766037,22.23003095,19.75037683,13.39932503,24.82719639,17.60238825,0.044538855,0.034372554
ZC3HAV1,6.788616929,5.470894109,5.997613628,5.671779377,6.304244279,6.124702625,1.792887694,1.640662327
AL671277.1,18.4324092,26.20837968,23.37336365,30.36524356,30.62377956,20.4351114,0.908000594,0.525557393
ERAP2,4.71158736,4.815443325,4.094489285,3.600587141,4.038064451,3.634854583,0.053148681,0.031251145
BTN3A3,9.61185077,11.70824558,9.505961042,8.76707777,7.790380707,9.629482101,0.83662674,1.701265259
TRAC,37.02760921,27.02591126,28.21950491,20.29321379,41.69281118,25.53814049,0.635123623,0.297061983
AL671883.2,16.22729209,20.72456319,23.54544444,24.69917959,26.25673627,18.7601267,0.28432284,0.877696756
TRIM69,8.306106201,7.894398909,8.851352801,7.491667856,7.931375068,7.526387775,3.083741279,2.641155162
FZD5,2.440911264,2.844101119,2.27899355,2.776344417,2.813453498,3.025054506,0.29402915,0.397641466
HLA-F,26.3026459,24.31126115,22.26539516,19.88011435,24.50520404,19.66625722,0.038935597,0.01335479
IFIT3,7.575463207,6.940589101,7.384920488,9.159572879,14.17870948,12.66254752,0.192111773,0.329468744
ITGB2,3.467167238,2.777236568,3.396493272,2.557324868,3.311642736,2.57990716,0.066326658,0.03412476
ACAP1,4.239424039,2.564060365,2.426999876,2.413993177,3.717547657,2.96359597,0.227810754,0.140649101
TAPBP,11.58904556,10.72278295,12.52298226,13.26055895,14.78207801,13.66433134,3.722672234,3.991159345
ARHGAP30,6.154893266,4.284325416,4.607728167,2.638581928,6.636473926,4.204003679,0.08902494,0.114507304
LGALS3BP,39.25677656,37.41666681,38.44114861,42.01620132,45.97520344,42.36568266,14.70141064,17.91045044
DDX60,3.344032933,3.55724259,3.200080113,3.547374924,5.368962435,5.108856599,0.509262222,0.42093903
EMB,4.527343496,2.71943849,3.838122394,2.485479228,4.508375931,3.146018634,0.085756571,0.198546126
AC125611.4,3.52323385,4.519092321,3.550731493,5.250955041,3.551886153,3.547573765,0.094687832,0.069594934
PARP10,4.158253684,2.895309708,3.190555183,3.351572529,4.895013361,4.296740282,0.457697092,0.557470072
IRF9,5.487059701,4.617222406,4.208831859,4.207482119,4.081933512,5.719453808,0.787216053,0.473795854
FXYD5,6.545232893,4.74287052,4.921635394,3.89148491,7.394933762,5.212248093,0.3577357,0.135618274
PSD4,2.009856721,1.587818445,1.238590047,0.950048336,1.898439747,1.269636085,0.008384584,0.056079786
PRKCH,1.674940195,1.362035878,1.478473081,1.204814307,1.476459043,1.102173632,0.070177817,0.085341842
FABP5,76.52440648,74.18664143,65.88574223,76.7146158,85.31039656,68.19158703,32.20546848,31.88280301
IL16,1.963102985,1.44014099,1.652995818,0.777289859,2.078934029,1.454793828,0.046595656,0.062330452
SORT1,23.49304762,24.11404252,20.16241465,22.79717655,20.89081366,22.1977281,8.988146466,10.90095538
LAPTM5,19.6650773,12.6076474,13.42205056,7.656724536,16.48886552,11.1240539,0.034424427,0.088556046
WIPF1,6.629260682,5.044319857,5.978230411,4.342983589,6.777987428,4.783883988,1.105925759,1.385928821
PARP12,2.102762247,2.34671968,1.693800909,1.87199048,2.783333335,2.118218392,0.10759482,0.239880505
DOCK10,1.754577348,1.278008417,1.24169931,1.08116472,1.447133015,1.337987594,0.175086333,0.190457209
UBE2L6,64.75884078,67.01849805,66.68181277,69.48355374,73.37334517,67.59021125,37.2436261,32.09448465
APOL4,3.406831451,4.703765241,3.153316136,5.929851465,5.515063061,4.703062273,0.283244531,0.543168028
MT2A,16.97146032,22.32092609,22.96556233,18.02361393,25.77498408,22.1677952,3.90435013,5.22280245
SPN,4.412331852,3.279970311,2.624275908,1.81805768,4.416676623,2.76474679,0.030535241,0.031420482
ITGA4,2.064948171,1.618268319,1.927046712,1.339450937,2.396575862,1.855701446,0.21397084,0.095408744
IFIH1,2.667423951,2.246895299,2.011390508,2.754748212,3.191455249,3.145935641,0.253741993,0.340562837
ITGA6,22.24337834,24.29462443,16.31397099,22.69711799,21.24864584,20.0818392,6.745427727,7.855204594
CD44,3.77027515,2.515910562,3.22331862,4.23150814,5.835019311,4.584407658,0.597100701,0.411539527
TNFRSF1B,4.906748304,3.809460032,3.977170845,2.668851731,5.444195807,3.145728327,0.074817826,0.123178968
GPC3,18.20538816,21.70620352,17.30529013,23.50959159,29.46498404,20.50826776,3.409021412,5.432892196
HCP5,13.64096692,12.11135933,9.999866839,10.96543555,10.98945234,10.41004041,0.053874557,0.018478808
APOBEC3C,5.727368246,4.894501334,4.788006173,3.230989699,5.740437818,3.995861247,0.179976963,0.432120823
ADGRE5,2.803257718,2.291507421,2.115988614,1.713707693,2.819278454,2.048633712,0.230353272,0.150838162
S100A4,25.21653546,16.30471063,14.12964299,10.49792254,23.00012939,13.21716385,0.82467493,0.282860971
