gene_name,IBD7_fpkm,IBD7_1_fpkm,IBD8_fpkm,IBD8_1_fpkm,IBD10_fpkm,IBD10_1_fpkm,CtrlBF_fpkm,CtrlBF_1_fpkm,CtrlDM_fpkm,CtrlDM_1_fpkm,CtrlTL_fpkm,CtrlTL_1_fpkm
ENTPD1,0.137794631,0.094661314,0.36812045,0.365061048,0.241739462,0.09739622,0.84676749,0.952639525,0.940591068,0.74592352,1.042749708,0.933316462
TTR,2.879929783,226.286263,41.65810427,47.97911703,7.509568263,17.04255928,0.512744241,0.714615244,0.361794295,0.789951271,1.439870624,1.71412576
MYO10,9.438242283,9.917287683,9.137524976,8.416642259,8.932373308,8.291242943,6.369971512,6.355832617,6.484922419,7.291388693,7.507992581,7.211767491
HTR2C,0.712250292,16.23942192,3.484730231,2.022607322,1.435132326,0.806732163,0.072462528,0.166338996,0.166171968,0.158735626,0.025898315,0.278582102
SLC13A4,0.049376704,0.748894306,0.503413983,0.171064885,0.121123357,0.162453613,0.036479888,0.018841549,0.030888418,0.036882667,0.01564562,0.014634458
CD276,16.16926695,17.33999091,16.12745048,15.45654472,16.43851739,16.45637159,13.63273542,13.08869466,13.4908592,13.9859513,14.13065251,13.18565415
SCN1A,1.191046179,1.232639546,1.352847775,1.067229124,1.399035073,1.316236973,2.443166527,2.079360142,1.672774782,1.716539265,1.661289953,2.073050013
GALNT5,0.149259882,0.704298957,0.681461714,0.047880437,0.082435355,0.09963899,0.02573068,0.014766306,0.009077833,0.008671592,0.009196219,0.025805627
COL4A6,18.74189577,19.73635827,15.10244826,13.96252772,14.55451408,17.16277841,10.93692341,12.76626254,9.148539006,11.6118374,12.69938194,10.40644024
GRIK2,9.801617575,8.768155238,8.865882393,10.19157297,7.766968537,9.038443017,13.19111293,10.81096288,12.55805068,12.40139201,10.61391825,13.61613756
AC007906.2,0.68425206,0.696192238,1.140680128,0.428021652,0.386497215,0.399678133,0.088467867,0.076154824,0,0.029814884,0.189712015,0.147875917
ANTXR1,7.128343179,8.910080939,6.341235357,6.501057784,6.691969075,6.397762519,4.393831986,5.178360543,4.552154612,5.135784099,5.67630632,5.137485762
NFIC,3.985981185,4.495207314,3.798671771,4.150140108,4.149736323,3.407898794,2.488013198,2.557748453,2.923814386,3.179040549,3.390562701,2.411486396
NOTCH3,16.03888759,17.50110746,15.97665314,16.63867318,16.58382446,16.58452128,11.33564937,12.2443159,11.01602503,14.17968154,15.16435948,12.84203636
B3GALNT2,2.964637253,3.452794139,3.548833685,3.561051687,2.91228566,3.028152151,2.02034728,2.533690487,2.181765355,2.229292671,2.573089806,2.25251173
LRP1,30.60270467,30.78531668,28.34490622,31.48408475,30.77366903,29.03518763,23.76804985,21.69435282,25.24534138,26.27748176,24.02204374,27.33547806
PPFIA2,9.898638287,8.58384173,8.942307065,9.854771386,8.957854016,8.934495598,12.24386812,12.44806692,13.47156381,12.25491901,9.756393442,11.42441069
TIMP3,5.56397043,8.684749759,4.396143749,6.680747125,6.538108804,7.231716917,3.455532192,2.723060242,2.864031731,4.238662195,5.094445576,3.822349892
HIST2H2BE,31.54077648,31.57135638,31.84890263,37.10863089,37.19170741,34.08562492,44.16445741,48.77817125,41.58149092,49.2870612,40.55198074,38.67960828
FOXJ1,1.669758979,3.704616513,4.976854277,1.70579089,4.488460498,2.122129388,0.885683602,0.36214632,0.960847915,1.611832605,1.234528846,1.265775292
MYO5C,0.230760516,0.334627895,0.255613752,0.279488289,0.340802432,0.236703356,0.116430582,0.06514668,0.117069256,0.158916746,0.093628403,0.157639113
PLAGL1,10.85668378,8.907700293,8.113436506,7.147259216,8.401731598,8.317029895,6.341230399,6.415501063,5.471331602,5.876410233,6.44731926,7.29317315
COL4A5,15.55285037,20.78197162,13.90141693,14.31807559,17.61730855,17.24827332,11.6116666,13.24112554,10.71971602,11.17181427,14.178139,11.68997445
GPRIN3,1.948374552,1.717223755,2.034459076,2.138395439,2.365723905,2.475940975,3.807463811,3.088830638,2.955217113,3.044606561,2.239132043,3.513841048
HSPG2,3.700593618,4.330047804,3.15059057,4.165360022,4.002022386,3.833725341,2.571138911,1.901868292,2.229011205,2.530946721,3.411363429,3.074268753
BOC,10.19076862,10.85426962,9.611044086,9.58173115,10.81253832,11.69497129,8.197006027,8.396220454,7.489432109,8.115807748,9.499053203,8.799976979
GPX8,6.840486243,6.408961184,3.429715802,4.051071212,4.5705394,4.273674607,2.252614198,2.64185179,2.224167711,2.965316853,3.971420916,2.683718502
ZNF683,0.071294233,0.075692155,0.07709242,0.356774669,0,0.118981826,0.786579367,0.465507965,0.650406336,0.472188059,0.553466262,0.49304404
CSPG4,2.086865609,1.368457546,0.921807736,1.386127687,1.325139968,1.406752696,0.550208235,0.425052316,0.843651552,0.706051704,1.058863078,0.799418275
PYCR1,23.11603092,22.29577195,20.06035056,18.5507993,20.41318654,22.59754285,17.26355696,16.50037015,15.97714375,15.97916632,19.07499746,17.17159123
NYNRIN,20.42556911,22.01001306,18.57467965,19.73055858,18.48538198,19.06503452,16.39274537,16.4841448,15.99639513,17.56221862,16.27594343,17.06714864
KLF6,16.34663292,15.89816364,15.11676996,15.71889098,17.36178982,16.79257817,18.8986616,18.62165936,17.52230903,20.16670221,19.27261148,19.97590936
PTHLH,0.083707916,0.728747119,0.506887798,0.309338534,0.196693548,0.234694029,0,0.01490623,0.036655414,0.035015052,0.111400333,0.069467087
AKAP11,14.95477023,13.61428698,15.36368776,15.13116616,14.89067014,14.22707669,17.73181428,17.88736324,16.85826473,16.57468022,16.00362362,17.47012339
HCN3,11.27708332,10.67641422,11.77884628,13.94200258,12.36147707,12.63834711,15.9496336,16.96674405,15.12397855,15.85314766,13.35851557,14.99989281
CLIC6,0.556575235,3.949757814,2.518225896,0.304460041,0.661851448,1.129297812,0.015149549,0,0.048103109,0.107217722,0.243652153,0.182324109
SVEP1,0.211164574,1.036353084,0.448059624,0.602745534,0.532914017,0.462786477,0.119509551,0.269606323,0.31404313,0.195826429,0.243022561,0.161187875
ADGRG2,0.178154845,0.378289338,0.096321873,0.147874405,0.905670874,0.089195947,0.080618576,0.024785002,0.036568784,0.052398448,0.074091369,0.086628639
NOTCH2,12.30834882,15.04614747,11.97078272,11.02082832,13.48283587,11.09528497,9.836092913,10.51872701,9.453113349,10.46532238,9.874839395,8.898158547
LAMC1,11.05706885,14.96669635,10.85813628,10.22142873,13.25696481,12.34463193,7.631400672,7.89867577,7.78260159,9.361479943,11.00193144,9.174587068
IDI1,42.57465137,38.04505446,42.51963671,43.39628067,41.59327359,42.17528101,45.22061981,52.43528658,47.57687172,53.1085705,48.65910145,46.63461871
SLC7A5,53.48610527,47.70285483,42.43969402,43.28800816,41.78047109,43.20135558,39.21488742,35.16788034,36.00079258,37.33029601,39.23198483,36.06610396
RBM47,0.535983432,2.086504207,0.923024729,0.366796429,0.801348415,0.662588397,0.314835435,0.106049871,0.173855806,0.179915239,0.16878463,0.391258491
ARHGEF40,7.946429572,9.470124697,7.689378156,7.382869924,8.354635934,9.429497844,6.362588658,5.796684972,6.703968199,6.555575429,7.457519292,6.689076526
TEX261,6.184490173,6.819614375,6.041675044,5.210920161,6.260928261,5.780757139,4.37893096,4.83295316,4.242408157,3.927649075,5.298576408,4.832230884
BMP4,0.550321153,1.071159417,1.110811222,0.614342364,0.729453926,1.102106801,0.094869013,0.081665053,0.381557648,0.287749426,0.447565236,0.399610434
KANK2,1.783877282,3.025555546,2.033007256,2.188292705,3.291268191,3.13520382,0.926387594,1.258787989,1.734096717,1.362350499,2.109695464,1.428181653
ATP8A1,9.319230169,8.650642026,8.761544238,8.785755416,9.01541077,9.179978538,10.20310436,11.21027023,10.61664552,10.2154515,9.489793401,11.28019516
BAMBI,5.0330524,4.824737,3.408091308,2.313639014,4.0187025,3.351677924,1.415180014,1.131198619,1.872293296,1.992907261,2.276052268,2.965327509
SULF1,3.86568034,17.82716854,6.188839129,2.568823141,3.167624972,3.184550336,0.79594739,0.604873698,0.592337306,0.77958757,2.180225586,1.852226051
CDC20B,0.050299223,0.120154561,0.326339621,0.101652213,0.056822655,0.239239213,0,0.01119625,0,0.026300229,0,0.013044392
FABP5,60.34715252,53.69492847,69.02258441,56.45662822,57.22041952,62.14460284,76.52440648,74.18664143,65.88574223,76.7146158,85.31039656,68.19158703
FAT1,14.14718734,16.17012196,15.87216505,12.5074476,14.93966912,13.67957961,11.22407689,12.2135117,11.4052074,13.2996408,10.7012552,11.5721767
ANGPTL2,7.385048559,4.985269423,2.499447662,4.062772686,3.626176697,3.508198558,1.638987226,1.475590278,2.721431229,2.113161543,3.111613633,2.292217396
SHROOM3,4.034258573,4.459432734,3.976926096,3.297699089,3.488570712,3.605650546,2.978745648,3.152006582,2.398906206,3.096349847,3.162392453,2.676494761
TEKT1,0.220443176,0.078013879,0.619765343,0.152744445,0.092972322,0.103010364,0,0.013085089,0.016088554,0.015368577,0.032596736,0.045735057
CTNNBIP1,15.40822315,14.92058078,15.34307704,14.52839021,14.76687906,14.27580933,12.08424956,12.49789837,13.30905507,12.62492922,13.14461652,12.62881585
SDK2,12.00672394,12.49915694,12.83045818,11.34569266,11.33535361,11.91539788,9.542166809,10.1917029,9.960842755,11.06867366,10.29061417,10.68157165
CRTC3,4.553647157,4.373850225,3.889438771,4.226265494,4.035053796,3.727337294,3.63928203,3.146728024,3.43975336,3.36783021,3.339661253,3.367870581
IMP3,9.742322144,8.143590546,9.080765741,8.654393717,9.442104354,10.39533774,11.53586491,11.3629232,11.38921591,11.93983243,11.53774481,10.90639365
ADAMTS14,0.332629744,0.535418921,0.208847448,0.396521628,0.523652746,0.139675495,0.055491801,0.057322078,0.223184793,0.08976719,0.071398543,0.111306868
RPL17P50,1.863834939,1.429139966,1.567545873,2.511144783,2.058770145,2.799472385,5.0337568,4.978516998,6.801391972,3.465079291,2.985705753,4.403939797
EPAS1,1.773051049,1.742681767,1.180489558,0.527539865,1.854307987,0.868322911,0.528553704,0.255069642,0.228855383,0.323872448,0.420746538,0.787108145
EPHA10,1.997357952,1.826045374,1.777333968,1.962216912,1.892869161,1.75001365,2.898038883,2.537911818,3.044523975,2.487630027,2.022822973,2.266191165
DGCR8,7.589702337,8.098915676,7.337786163,6.926159556,7.089727377,7.352149698,6.51523811,5.952517133,5.812749445,5.924415173,5.725697923,6.774738522
ALG8,6.853881805,5.971052888,7.145335988,6.267665895,5.660749403,6.567465507,5.138807927,5.372537291,4.46962705,5.315575341,4.946157559,4.286308673
SLC22A23,13.69884467,12.94513632,14.55872763,12.61329568,11.89229082,13.47530552,11.6915088,11.58607747,10.66323426,10.25249027,11.42943463,11.17850192
CDK5RAP2,12.51314924,12.04050422,11.95393688,11.36741433,11.21756786,12.00187382,10.70922834,10.4172395,9.965456196,10.61045178,10.38154771,10.51351115
CLN6,1.123799001,0.996992946,1.015436796,1.200016091,0.932160771,1.194661765,0.748381542,0.767582562,0.80894432,0.780792756,0.69144799,0.718622596
DOCK1,3.735758246,4.069415498,3.769272059,3.039157541,4.104161802,3.712916866,2.377299559,2.6028544,2.196878009,3.115172035,3.049512288,3.212579769
ZC3H4,9.74734266,9.767035305,9.449394108,8.716012838,8.950650155,9.629710436,8.544047501,8.051656732,7.758001163,8.156452648,7.309514639,7.856359519
SMO,11.46201562,13.19940545,10.79174066,9.359562602,11.79296152,11.33281604,7.935327536,8.69915616,8.082943978,9.504101223,10.22453585,8.625045492
ISM2,0.205288041,0.20342152,0.695548677,0.221267659,0.148423912,0.30148975,0,0,0.044947471,0.071560053,0.060711519,0.127772524
RSPO1,0.933425915,1.787697258,0.811429541,0.105681069,0.562391609,0.678092408,0.151446448,0.065183993,0.160291789,0.267957532,0.365359914,0.208845411
HOXB5,2.299125476,0.352908644,0.838686964,0.031989106,0.325445425,1.636492703,0.085953836,0,0.12129871,0.028967621,0,0
KCNV1,0.810092083,0.645048129,0.718299427,1.029069219,1.325144384,1.776462249,5.019039783,3.361178644,3.112813598,2.668536804,1.140976823,2.109262748
LRRTM2,12.6800916,11.55176531,13.82166535,14.08630683,14.92189969,15.43698122,17.1833917,20.20140706,16.65364623,15.93748154,15.59523025,18.03208874
INSIG1,38.58410664,32.24844546,39.25993795,41.03416971,43.99763578,41.39622851,44.37863281,59.96468382,46.51276313,53.1944258,56.46419481,43.47955466
SPAG6,0.290899544,0.277959819,1.038040411,0.134375641,0.315481956,0.349543932,0,0.051801738,0.047768974,0.152104233,0.08065323,0.15088137
TENM4,10.03320723,10.32498928,9.434072774,8.5720303,7.828507002,7.987325006,8.390215543,7.311851745,6.052822358,6.716044585,6.45811994,7.118158018
SH3PXD2A,8.151503349,8.679873563,7.633985737,8.624957814,7.966741236,7.36296904,6.794822809,6.384353756,6.286138511,6.663649448,7.429470092,7.173803358
PLA2G4C,0.85492706,0.998431369,0.93370077,0.849072998,0.965804699,0.915989133,1.114189436,1.172252251,1.478760226,1.394703584,1.32738166,1.285936842
PARVA,1.364017527,1.761148901,1.351244306,1.326222157,1.407705335,1.35261473,1.224249583,0.912820677,1.006737286,1.016901261,1.200416836,1.004161372
PDGFRB,5.81444075,6.274038592,4.76259839,5.754135041,6.658019695,6.924742256,3.047995049,3.843967283,4.17994472,3.794072475,5.938780843,4.462048558
OIP5-AS1,25.28587536,24.59591269,26.8985083,26.54248134,25.04550748,25.39099388,28.71029044,30.43815104,27.27125797,29.22789119,27.67143517,29.49270745
