gene_name,padj
CCDC144NL-AS1,2.73130185591571e-154
RPL10P9,2.95721554902811e-144
GRIN3A,8.91602106869894e-89
CBLN2,5.49077521898339e-85
COL11A1,5.52244543734626e-79
RIMBP2,3.78958778619219e-67
TPH1,8.10631132236325e-64
ZNF736,2.7932934259842e-63
IRX1,1.57743227051329e-62
CYP26B1,4.19649858661471e-59
AJAP1,1.01478970990693e-55
NCAM2,1.48636335235383e-53
CDH8,4.21076910399397e-53
PTPRT,2.39044280015948e-51
PCDHGA3,1.21838210590006e-47
CSMD1,2.83679934591681e-47
LRP2,8.89136652129926e-43
HCRT,7.33912299505325e-42
WNT8B,1.17304670717715e-41
BEX2,6.76498146226602e-40
SLITRK2,2.44185342690063e-39
ABCA8,2.1926487776664e-38
NRP2,3.29689704721374e-38
PPM1K,9.82139777203256e-38
DSCAM,2.72228417374195e-36
KLHL1,3.45854108170421e-36
PLEKHG4B,4.61944370477251e-36
TMOD1,2.53024432830337e-35
LPL,7.16276578189295e-35
BEX1,9.2736910601678e-35
PGRMC1,1.18179187297814e-34
RBFOX1,1.62571750204853e-32
GDF7,2.85279384665233e-32
RAB31,9.68726519993343e-32
LINC01551,1.1721113724736e-31
SVIL-AS1,9.57034305539417e-31
NEUROD6,2.3209118744153e-29
APCDD1,9.12321198699091e-29
SMS,9.12321198699091e-29
TMEM132B,1.15455943881908e-28
SIX3,2.7056885911512e-28
CASK,3.16420408389168e-28
SLC9A6,6.04193816949939e-28
ISL1,8.0314770906712e-28
GPNMB,8.43435026762013e-28
CRYZ,2.3396281326118e-27
ZDHHC9,3.06850526878477e-27
SEPT6,7.41118151498125e-27
BX322639.1,1.09061443548739e-26
RFTN1,1.77708808190417e-26
NEUROD2,5.52943148851641e-26
FGF13,7.46375802605754e-26
DDIT4L,9.85675273299198e-26
EBF1,6.63803226906695e-25
CCDC144NL,3.47483226922649e-24
PAX7,9.42982648319756e-24
PAX3,9.82437035506271e-24
EN1,2.42686902953951e-23
SERTAD4,1.07363335197883e-22
SLC17A6,1.09233156768298e-22
TUBA1C,1.31188537036628e-22
IQSEC2,1.88760789592016e-22
SLC25A5,2.0580146845943e-22
RTL5,2.30061629680649e-22
BMP5,2.62158892253058e-22
NR4A2,2.62158892253058e-22
ZCCHC12,3.24595854867509e-22
CTNNA2,3.62189521659548e-22
C1QL3,3.99760923678787e-22
SMARCA1,4.73107534986746e-22
FHL1,9.58672756181024e-22
CNTNAP4,1.83979293157851e-21
MIR7-3HG,2.04361926585835e-21
HAP1,2.2534723730446e-21
BEX4,4.11705596423312e-21
PRKACB,6.1271244598187e-21
TMSB4X,8.53395816182583e-21
EBF2,8.70837240724158e-21
C11orf87,1.1055734466327e-20
PCDHGA7,1.88402301142467e-20
APOOL,2.23430386804723e-20
FZD10-DT,4.20396604300827e-20
EPHB6,6.16386627028882e-20
MMGT1,7.18732559299838e-20
HTATSF1,1.85287096858919e-19
MT-CO2,3.85373558207036e-19
OCRL,4.81886660806546e-19
DPP6,8.51963586599406e-19
TSPAN7,1.02610434996931e-18
EDIL3,2.05069766895874e-18
BOC,2.50915552714069e-18
MTMR1,2.79466774175818e-18
EBF3,3.07779036842925e-18
USP11,3.5218855787642e-18
TMEM132D,4.14931435916324e-18
RPS6KA3,4.88515723848641e-18
FZD5,6.73132857853659e-18
GAS1,8.18208694459863e-18
SYT1,8.92492997218537e-18
MN1,1.27811929009722e-17
STAG2,2.00677407173924e-17
PJA1,2.50686604882169e-17
ECEL1,2.87842451838105e-17
KCNJ16,3.73958546902039e-17
ARMCX3,5.29711571149348e-17
ASB4,6.3335750672376e-17
SOX2-OT,7.47954169715561e-17
RUNX1T1,9.37027502137437e-17
EMX2OS,1.0363091113969e-16
NRN1,1.73632460515408e-16
CD99L2,1.90306767163819e-16
NHSL2,2.14739220411065e-16
RGPD2,3.41982871428505e-16
WNT5A,3.94560512489934e-16
XIAP,4.49440124663269e-16
TMEM132C,4.49440124663269e-16
OLFM3,4.98396682063283e-16
CGNL1,5.04918809970505e-16
GDF15,6.97989241540984e-16
CNTN2,7.48736851579903e-16
TCERG1L,8.62464164832282e-16
INSM2,8.62464164832282e-16
BTNL9,1.02813991358689e-15
IGF1,1.07578855421975e-15
TMEM47,1.8035841509934e-15
SHTN1,1.92026708410153e-15
FZD10,1.9579325295828e-15
MT-ND5,2.21783784959815e-15
PCDHGB4,3.30397347144788e-15
VAX1,4.03610517527833e-15
LHX5,5.46031202030617e-15
ZNF528-AS1,5.55114335930365e-15
GK,6.59962370081888e-15
KCTD8,7.25150505177971e-15
FAM199X,7.99992792971917e-15
TCEAL4,1.40237710047542e-14
LMX1A,1.41692736552926e-14
BRS3,1.41692736552926e-14
SOX1,1.72702836246549e-14
STK26,1.97461708959863e-14
MID1IP1,3.11287793361547e-14
CXorf57,3.27954469913654e-14
TRIM4,3.65579835794932e-14
TSIX,3.68168368993703e-14
DGKK,5.25021251263621e-14
TYW3,6.13940911735126e-14
ENOX2,9.12217963358413e-14
HSPB8,9.47988834763315e-14
HMGB3,1.0489084884782e-13
IRX3,1.09182837106531e-13
UBE2A,1.58168660898111e-13
MT-ND4,1.91252108987905e-13
FAT4,2.29681077598248e-13
MAGEL2,3.34968920861095e-13
C1orf61,4.14465701148486e-13
POU4F2,4.52639946371462e-13
NPNT,5.28938537180509e-13
MORF4L2,5.55822269129224e-13
AC010478.1,5.96136535307498e-13
KDM5C,7.79675941422009e-13
FAM135B,1.03168847530902e-12
WNT3,1.09211201623268e-12
FGFBP3,1.18531318960702e-12
ZNF558,1.24322361903929e-12
HPRT1,1.71135106999809e-12
POU3F3,1.84277288559808e-12
TCF19,1.93607322032896e-12
KCNK9,2.09878949455049e-12
PRDM12,2.13667844605404e-12
CLDN5,2.53480840709403e-12
GABRA1,2.63625550751414e-12
PDE1B,2.75146857568053e-12
LINC01833,2.94867401732177e-12
PBX1,3.26396776934188e-12
CCK,3.27825636421768e-12
CNTN4,3.31873440673654e-12
TCEAL9,3.73149742494509e-12
ZNF449,4.68717591830731e-12
MYO3A,5.92510873447143e-12
TENT5A,6.52734735212607e-12
FEZF1-AS1,6.59450360377402e-12
SLC30A8,9.66859476109269e-12
PTN,1.1223944836205e-11
POU3F1,1.23062918237508e-11
EIF1AX,1.2586386507868e-11
FEZF1,1.45837141451364e-11
AL021395.1,1.76710028811121e-11
PCSK5,1.82205021308227e-11
TAC1,2.85062008035267e-11
PPP1R1B,2.95754769441683e-11
UTS2,3.36474952021775e-11
BHLHE22,5.35607524535559e-11
FTX,5.6126187837477e-11
CLCN5,5.92562153506503e-11
SP140L,5.97411107765038e-11
IGSF1,6.3039082099178e-11
GPM6B,6.59986246547199e-11
SCG2,6.79596247925403e-11
ACSS3,6.99710430761211e-11
UNCX,8.25973064210833e-11
Z83843.1,8.67962255043602e-11
KLHL5,9.09926346780016e-11
GPRASP2,1.17419930928998e-10
BAIAP3,1.19938428085546e-10
VGF,1.40495155575736e-10
XIST,1.40495155575736e-10
HS3ST3B1,1.4343782632e-10
GRIN1,1.4343782632e-10
AL512625.3,1.53647382483454e-10
ATP10B,1.76930592051074e-10
LINC01896,1.90133702610424e-10
TRIM48,1.91440028982703e-10
