gene_name,padj
HLA-B,0.0
BST2,7.4334817444178e-140
GBP1,2.58769208268554e-93
SOCS3,9.18864103737914e-91
STAT1,5.38019415816267e-82
TAP1,1.0581682827521e-49
NLRC5,2.75385728468659e-48
ARHGDIB,2.13198186977815e-47
BTN3A1,3.53621829009707e-45
AL671883.2,1.01921598146545e-43
HLA-DRA,2.13853339535005e-40
IFI27,3.66935246115572e-40
SERPING1,6.81076221203171e-39
SELL,8.72139205529574e-38
RAC2,1.49852639419987e-35
LAPTM5,1.63306644546027e-35
PTPRC,2.26121274749631e-35
CD7,1.36688984186452e-30
VGF,3.37444614237857e-30
IFITM1,4.04239814995394e-25
GBP3,3.69862791718496e-24
PRPH,9.94525065494273e-24
ITK,3.20093703874826e-23
IL2RB,3.88829698147806e-23
IL32,1.84068665945695e-22
HCP5,1.94136933344155e-22
PSMB9,3.89469335920888e-22
SPN,7.21972125773595e-22
TRBC2,1.23454266447762e-21
LSP1,1.23454266447762e-21
MYO1G,2.44397331893131e-20
ITGAL,3.46866137923326e-20
HLA-DPA1,9.61976551347911e-20
IRF1,3.86044692550529e-19
AL671277.1,6.6667341683786e-19
IFI6,7.3374663949053e-19
TRIM69,7.50859682589244e-19
HLA-E,4.67012891043295e-18
CD74,5.54436815791778e-18
ARHGAP30,7.36964210743816e-18
GBP5,1.43330742110243e-17
CD3E,8.46043263072136e-17
SRGN,1.341076203532e-16
HLA-A,8.59575280981529e-16
CD96,1.34737973679836e-15
CCL2,5.90871517816995e-15
BTN3A3,1.16124297664222e-14
HCLS1,2.91027352210003e-14
LCK,2.91027352210003e-14
CTSW,7.07666014760857e-14
DOCK2,7.53580419155558e-14
IL7R,7.98447776622804e-14
ITGB2,7.98447776622804e-14
CASP1,1.20114384509963e-13
LCP2,1.82874497087569e-13
B2M,4.32362837512138e-13
CD3D,5.99765306655135e-13
CD53,6.76213619095549e-13
TRBC1,7.31205244171909e-13
FZD5,9.16862329121973e-13
UBE2L6,1.16790540613383e-12
DOCK8,1.44925770505677e-12
CTSC,1.72917028432225e-12
DDX3Y,2.02790010248116e-12
GZMA,2.20786630598256e-12
LAP3,3.67042147660111e-12
RPS4Y1,4.19543958015986e-12
CCL5,5.52596457316494e-12
APOL6,7.59418702453758e-12
PSRC1,1.067438269173e-11
CD6,1.22444233862965e-11
IL2RA,1.36654017385635e-11
IRF4,1.49702002535774e-11
TAP2,3.08821526361524e-11
CXCL9,3.98583109190237e-11
FYB1,4.14314503383889e-11
CD52,4.29297498707292e-11
GBP1P1,5.59971367324129e-11
CD5,6.45141309949178e-11
SASH3,1.02963866925365e-10
CYTIP,1.19066732830782e-10
LRRN2,1.58328389202646e-10
GIMAP4,1.60582030665756e-10
BCL6,1.73311197323705e-10
CD8A,1.82404823065939e-10
A2M,2.25245217363259e-10
SP100,2.26411607764901e-10
CD48,3.74053945985835e-10
CTGF,3.82286264984652e-10
GALNT15,7.53070916864118e-10
SLC15A2,7.72098382531836e-10
ZAP70,1.12160327687347e-09
GADD45B,1.77697153597064e-09
GBP2,1.82451841312958e-09
CIITA,2.10779500221716e-09
PGGHG,2.51348607308345e-09
DPP4,2.54597981638689e-09
ERAP2,2.60289423723614e-09
HLA-DOA,2.75471043544002e-09
ABCA8,2.9380112610452e-09
SBNO2,3.00152476982258e-09
TRIM22,3.29846452259409e-09
JAML,3.46040177851173e-09
CD2,3.96018936725884e-09
TMC8,3.99878077005547e-09
PSMB8,4.03396659874655e-09
IFIT3,5.07887093137401e-09
TXLNGY,6.00156749427418e-09
OAS2,7.53679642777536e-09
IFI44L,8.71266598342802e-09
FXYD5,1.2240055899275e-08
CST7,1.67515386712851e-08
PARP10,1.8380407395582e-08
DDX60,1.95557887698016e-08
IRF9,3.25870219108737e-08
ITGB7,3.92582504675763e-08
S1PR4,3.92582504675763e-08
PRF1,3.93853416301136e-08
SLA2,3.95837801734645e-08
CCR4,4.67495758804092e-08
TRAF3IP3,5.34676634104884e-08
SP140L,5.60818306383977e-08
TNFRSF14,5.86559193414664e-08
LCP1,5.88448696103859e-08
GMFG,7.89711453394966e-08
SIRPG,8.14085838655004e-08
