gene_name,padj
IFI16,1.05471143015552e-07
LMO4,1.28069566498738e-07
CD3G,1.55372729812112e-07
DPP6,1.61256695304755e-07
CRYBG1,2.27886735723674e-07
PTPN7,2.32377962347472e-07
CP,2.37801688181043e-07
C1R,4.41260775583835e-07
PARP14,5.69608085541075e-07
CD37,5.97306473201799e-07
TBC1D10C,6.03567339307376e-07
LINC02446,6.33697240010518e-07
CCR7,6.87411374264511e-07
IL2RG,8.12581136414141e-07
GIMAP6,9.33928472539515e-07
CD28,1.12304532383008e-06
AL356488.3,1.3172692599878e-06
BIN2,1.34762429356791e-06
DENND2D,1.48275467302787e-06
ATP2A3,1.83333195936918e-06
OAS1,1.854863932543e-06
GNA15,2.1113078967199e-06
CD8B,2.1113078967199e-06
NKG7,2.40757581711177e-06
BATF2,2.55961901376137e-06
NDNF,2.69808082993699e-06
TEAD4,2.85128571259989e-06
NEFM,3.17844824014984e-06
C3,3.61786529048458e-06
TNFRSF1B,3.62390232329334e-06
GBP4,3.81788869591262e-06
BTN3A2,3.83822246222393e-06
SKAP1,4.00564525010859e-06
GIMAP7,4.1204300173491e-06
IFIT2,4.26760790750294e-06
FGFR3,4.86598109325234e-06
APBB1IP,4.90556213538742e-06
SH2D1A,5.2408179565117e-06
CYTH4,5.27737895722591e-06
MT2A,5.30389030198275e-06
DLX6-AS1,5.55956265748509e-06
DPY19L1,5.8511003620016e-06
HELZ2,6.14589821449986e-06
HAP1,7.04300770688478e-06
STUM,7.46185427490728e-06
FMNL1,7.70413822303583e-06
IKZF3,8.26879578096629e-06
CSMD1,8.2896776098703e-06
P2RY8,8.37581448099678e-06
IER3,9.0718066989034e-06
TRGC1,1.13263544099902e-05
FOS,1.15133359037868e-05
SEZ6L,1.16449569648718e-05
AQP1,1.23049369626656e-05
WNT5A,1.32377420364059e-05
SLAMF6,1.4307865325544e-05
KDM5D,1.458452286514e-05
CARD11,1.55077381699641e-05
RPL10P9,1.55077381699641e-05
CD27,1.61254462099675e-05
HSH2D,1.63130356243814e-05
FZD7,1.83150599332618e-05
HLA-F,1.86148092235641e-05
GNLY,1.95828147566271e-05
IL12RB2,2.50831644846572e-05
CASP4,2.5797270404019e-05
PTPN6,2.60120108818816e-05
TRDC,3.01677797073282e-05
PIK3CG,3.41196894397779e-05
GRAP2,3.77833512427457e-05
WARS,4.24948737296771e-05
PARP9,4.37078353616213e-05
NTNG1,4.5194215462928e-05
C3orf58,5.09281785393792e-05
AC136475.3,5.37781111329017e-05
STK17B,5.59268196704619e-05
GALNT10,5.72300810076648e-05
TESPA1,6.10837605253506e-05
FOXA2,7.21546064010738e-05
RGL1,7.33048086421666e-05
PSMB8-AS1,9.21976130579843e-05
APOL1,9.61833709593225e-05
IDO1,9.83483232965641e-05
ISG15,0.000100348761252729
NEUROD2,0.000101711625553414
MYO1F,0.000107968318637503
IFITM2,0.000112564670599187
NNMT,0.000130850219217135
HLA-DRB1,0.000131893992700361
DTX3L,0.000139739195098747
EFNA1,0.000139739195098747
TAPBPL,0.00014042978855541
ZC3HAV1,0.000146384733330423
OSMR,0.000159640258153572
JUNB,0.000166717712553504
EVI2A,0.000166717712553504
PCDHB15,0.000177293619611773
IRF8,0.000193628988548764
AC004687.1,0.000196063091389351
SLAMF1,0.000223344824245056
CTLA4,0.000241884821639338
CD274,0.000251298604547189
PECAM1,0.00025188770185495
GPRC5B,0.000251955816081186
SLAMF7,0.00025239183902945
WNK2,0.000262733915741744
SIT1,0.000273152204152433
CD84,0.000273458598062517
USP9Y,0.000283545091114488
GPR65,0.000294913619836613
P2RY10,0.000309581971557769
SLFN12L,0.000311591230855702
SNX20,0.000318069510241991
PTPN22,0.000322924398480839
GDF7,0.000346023084822759
ICOS,0.000361046366905401
PATL2,0.000365184899582184
CARTPT,0.000389657178024198
SPOCD1,0.000434121911130226
PTK2B,0.000436354281562467
ARHGAP4,0.000445933522596641
ARHGAP25,0.000447645856434779
RGS1,0.000453619056651682
FABP5,0.000461099495066337
ICAM1,0.000484497751258444
ZFP36L2,0.000499005282669312
HLA-C,0.00054986900310684
KLHL6,0.000576311749429746
ALOX5AP,0.000697404651808445
EVI2B,0.00070607422237109
GPR174,0.000720205300169057
ITGB2-AS1,0.000808057848664863
GPR171,0.000854500701716628
SYTL3,0.000856362555151223
ACSL5,0.000903437398729252
GPNMB,0.000903437398729252
CSF1,0.000918899734160705
C4A,0.000996233333444121
FCGR3A,0.001069821673499
IFI35,0.00112831479979494
IRS3P,0.00116423037870906
IL13RA1,0.00120556375196146
ANKFN1,0.00124963882910424
MIR4435-2HG,0.00124963882910424
ETV7,0.00124963882910424
RNF128,0.00129544649379183
TRAC,0.00130505086630122
CTSS,0.001395556853697
SAMD9L,0.00141138312606269
EIF1AY,0.00146428959312921
RUNX3,0.00149648863974915
VMP1,0.00149649667902778
PITPNM3,0.00153494077313145
TNFRSF9,0.00156672206421284
TCEA1P2,0.00166530999583244
ZFP36,0.00166530999583244
TGM2,0.00167993631198034
SLITRK6,0.0017501831381821
IFIH1,0.00186377464049896
EPSTI1,0.00186954178262855
TRIM21,0.00186954178262855
CARD16,0.00205261927416092
AC125611.4,0.00210754811243401
ACAP1,0.00213734603535334
LY9,0.00213734603535334
PLAC8,0.00216812824713424
CLEC2B,0.00233817054422765
ALPK1,0.0024656119571161
HELB,0.00258517080049242
BATF3,0.00263573638416695
SCGN,0.00292517609758064
MYO5B,0.00297708287918883
LTB,0.0032441409534381
THEMIS,0.00342500089695928
CXCL11,0.00342500089695928
ADAMTS17,0.00371997986500261
HSD3B7,0.0038629720765133
UBASH3A,0.00389114139014025
VAV1,0.00393087805095816
REEP1,0.00405408713442665
BCORP1,0.00425928897099634
IL12RB1,0.00426046621916438
ALYREF,0.00426988441676019
HSPA1A,0.00431013473527366
PRKY,0.00451634902760277
FHDC1,0.00460656161467154
BTN2A2,0.00460656161467154
SLC6A1,0.00485325978026493
HLA-DMB,0.00485325978026493
DEF6,0.0048602570127945
LINC01993,0.00494724402947201
APOBEC3H,0.00533864811550834
PTCH1,0.00573936398098171
FABP5P7,0.00580467312461985
F3,0.00581387464005677
CPE,0.00592572675963499
AL645939.1,0.00603821425449745
ADA,0.00620375424247525
XAF1,0.00632623988871445
CXCL10,0.00644074117869493
AL137003.2,0.0064993341849799
WDR76,0.00654243510985497
NPTX1,0.0065529346361776
GIMAP2,0.00672244289144267
AC024940.1,0.00672244289144267
PTP4A3,0.00678119625885536
FCMR,0.00687076199578266
PRKCH,0.00688086349286553
MCL1,0.00688086349286553
RET,0.00702765904392782
IL16,0.00703709719723095
HCST,0.00709503139658364
GDPD2,0.00712969785480315
GCSAM,0.00734609202751225
FLI1,0.0073943767622568
FNDC1,0.00747629268259904
AC125807.2,0.00747973398335116
APOL3,0.00747973398335116
TTF2,0.00764244947638889
LGALS3BP,0.00822751717858077
CNTN3,0.00848371055095221
RNU6-2,0.00848371055095221
BTG2,0.0086746049980193
OR52K3P,0.00873688602949735
GVINP1,0.00873688602949735
KIAA1024,0.00878333750187132
MUM1L1,0.0090609139502237
PML,0.00910462844269145
RRAD,0.00910462844269145
AC004257.1,0.00920296203532039
OAS3,0.00920296203532039
HLA-DMA,0.00949568436959555
CHRM3-AS2,0.00983048751211089
MX1,0.010220768674487
MIR7-3HG,0.010220768674487
EFNB3,0.0103147507771953
AC004847.1,0.0103236851497394
KLRC1,0.0104095085164817
CHST15,0.0108381728443622
C16orf54,0.0109169624928177
SEPHS2,0.0109169624928177
AC011603.2,0.0109648499774612
EMILIN3,0.0109659206155877
CFB,0.010969661671401
SH2D2A,0.0113409772144488
AGXT,0.0113675721476563
CDKN1C,0.0113909947850202
CTXND1,0.0113909947850202
PLEKHH2,0.0120622999472165
CISH,0.0120622999472165
RFTN1,0.0129999448955426
ZBED2,0.0135085977155627
RASD2,0.0137955737378906
MAP4K1,0.0142599293120647
APOL4,0.0143797074586048
UBA7,0.0143797074586048
GRB10,0.0144248708946233
CDKN1A,0.0144248708946233
TAPBP,0.0146828445509931
PMAIP1,0.0147408017665576
AC004585.1,0.0148125050073215
ACSS1,0.0148125050073215
HLA-DQB1,0.0148430665688466
IRF7,0.0152740999620811
SMOC1,0.0160985752665525
NLRC3,0.0163672898942055
MIR9-3HG,0.0163672898942055
AEN,0.0163672898942055
BATF,0.0163672898942055
C1QTNF6,0.0165582533117882
SCN1A,0.0165582533117882
LGALS3,0.0168085664937735
CXCR3,0.0168153119348203
PCED1B-AS1,0.0169218424398851
IGLVIVOR22-1,0.0173420604500325
DPYSL2,0.0182215715908959
GZMH,0.0187853498335598
SAMSN1,0.0191371216374313
NTN1,0.019344438283521
CACNA2D2,0.0198650400775426
RIPPLY3,0.0201350624399486
PRELP,0.0203939390663577
DACT2,0.0204994948262124
NCKAP1L,0.0204994948262124
TRIM2,0.0204994948262124
ICAM2,0.0204994948262124
FOXP1,0.0208081915229513
RASA4,0.02090581799943
SLFN13,0.0209314966741106
ATP1A4,0.0209314966741106
TXNL4B,0.0213164682462816
C1S,0.0213898979443498
HLA-H,0.0216529025079393
C10orf105,0.0216868034644163
NOVA1,0.0217658204764245
RYR3,0.0218434125409663
HSPA7,0.0219310911583942
LPCAT1,0.02247196910111
LAIR1,0.0224749053193494
DEPP1,0.0226570497616157
DOCK10,0.0226597234774342
ETV6,0.023134379057252
HAPLN3,0.0231548107534316
ITPR3,0.0234652644240568
PDPN,0.0234652644240568
PLIN2,0.0238687268039083
HOXC10,0.0243105640281199
ART3,0.0245148511297205
CYBC1,0.0246640218440248
TTTY15,0.0249944305093268
TNFRSF14-AS1,0.0250627772049911
BANCR,0.0253437710538246
CD69,0.025569165409724
CD44,0.0257353270488091
AC124068.2,0.0258968195905761
NCF4,0.0258968195905761
TRBV7-9,0.027039326968638
GZMB,0.0271136913806447
SCUBE3,0.0275091779557936
PSME1,0.0275091779557936
ONECUT3,0.0279446933382013
MAL2,0.0291371190760198
SHISA6,0.0291405314462562
SAMD4A,0.0294129480545815
AQP3,0.029489541031605
TENT5C,0.0305081344335675
NAV2,0.0305081344335675
AC243960.1,0.0305549064660479
NEFL,0.0306471143253808
DPEP2,0.03097166454301
TOX2,0.0311620624581966
LRRC7,0.0314231009285573
PRTG,0.0319641636000289
STAT3,0.0322706475600975
ADAMTS16,0.0322706475600975
STAT4,0.0328249708932267
NEAT1,0.0330544195548314
FAM181A,0.0335152151899304
SEL1L3,0.0335152151899304
NABP1,0.0336565599421637
ZNF217,0.0338970918798077
CDC25A,0.0348410729687569
SMG1P5,0.0349417043918923
PKD1P1,0.0350145270866864
DZIP1,0.0368277539871586
NR1D2,0.0368579868571449
FURIN,0.0372476705260643
TSHR,0.0372476705260643
CCDC69,0.0372476705260643
COL24A1,0.0381760869242859
IQGAP2,0.0395555103609582
HLA-DRB5,0.0395621193547323
ISL1,0.0399150515652899
CNGB1,0.0409653577894721
CD44-AS1,0.0411029734476169
HEYL,0.0420136508230146
STAT2,0.0425786501239705
TIMP4,0.0427252213290114
TMEM158,0.0427252213290114
SLCO2A1,0.0427252213290114
SUSD6,0.0427888282742199
ARHGAP9,0.0434634464380561
TMC6,0.0440174083074889
LINC01871,0.0450349751443762
UTY,0.0451363866066417
HSPA1B,0.0456045433585487
KLHDC8B,0.0467110090379142
ERC2,0.0468142947748197
RPLP0P2,0.046846102981692
AC245297.1,0.046846102981692
SCT,0.0475168443009261
HS3ST3B1,0.0475877107651276
CPNE4,0.0478531875183753
PARP12,0.0478531875183753
MYBPC2,0.0483896095865431
TIGIT,0.0483896095865431
PCED1B,0.0484272036697369
ADGRG2,0.0486042665811076
DACT3,0.0486396757340963
ID4,0.048751399181888
SIGIRR,0.048751399181888
NPTX2,0.0508319982935699
EFTUD2,0.0520998011209233
NTM,0.0520998011209233
KLRB1,0.0527667128684629
TNFRSF1A,0.0529634653591955
TNFSF8,0.0530172396215815
ARID5A,0.0530172396215815
SOCS1,0.0536269510116828
RIMBP2,0.0540856174242159
FLRT2,0.054769972369369
OLFM3,0.0548327429183261
PCDHGA10,0.0554237737276034
TBX21,0.0557955842720597
DCDC1,0.0557955842720597
RTN4RL2,0.0558440439819356
GRIN2A,0.0558440439819356
PRKAR1B,0.0563262717405703
KCTD16,0.0568598610786275
FEZF1-AS1,0.0569170117169949
PLCD3,0.0569290295670467
LINC02300,0.0569290295670467
TIPARP,0.0569290295670467
ZNF878,0.0569290295670467
DOK5,0.0569290295670467
MAP3K9,0.0577177646989044
PITX3,0.0582655745786983
NEK6,0.058419806096512
BMP7,0.058419806096512
PLCG2,0.058419806096512
BAALC,0.0603085890603426
IKZF1,0.0603085890603426
KIAA0040,0.060946533236673
PI16,0.0610505439185961
ST6GALNAC3,0.0622431777020915
ZNF263,0.0631257046076814
HERC5,0.0633005774818312
WFDC2,0.0637149544765896
ELAVL2,0.063882234910135
GIMAP1,0.063882234910135
SRPX2,0.063882234910135
PSD4,0.0652824770280272
WSCD2,0.0653326192647572
CCDC137,0.0655542340730647
RAB37,0.0657991687088253
TXLNA,0.065942129008508
CCDC85C,0.0660874097647115
PHACTR1,0.0672527739181815
PDZRN4,0.0673977096686944
CMAHP,0.0686633965163235
TFPI,0.0686633965163235
FOXA1,0.0705072943593717
RAB31,0.0705072943593717
PRR13,0.0705257977637095
ZBP1,0.0707609073858849
APOBEC3G,0.0712745223053339
RNF180,0.0717695726685999
SLC2A13,0.0758796867611765
LINC01119,0.0760008243866513
PLEKHF1,0.0762054443294498
BAX,0.0762054443294498
HOXA10,0.0765251146362456
PLOD2,0.076719399226502
TRABD2B,0.0768049251177894
NFKBIZ,0.077232533581051
LAG3,0.0780404067048529
PPP2R2C,0.0785674162864698
FALEC,0.0787867490482629
DOK2,0.080412943709128
IGF1,0.080412943709128
MYB,0.0817424285686452
USP18,0.0820266047855978
CDK2,0.082154050803196
CFI,0.082154050803196
TP53,0.0821945301401712
CORO1A,0.0821945301401712
GPRIN3,0.0821945301401712
CCDC184,0.0823788560918684
RCSD1,0.0832865056238804
SPEF2,0.0853317157780507
GFI1,0.0853317157780507
SELPLG,0.0854989517451646
RCAN1,0.0860105497189407
SMOX,0.0868008246783663
CDH13,0.0868108999660492
MDM2,0.0869096470961056
EFHD1,0.0869241384513624
CD247,0.0869241384513624
AC083843.2,0.0869241384513624
ANKRD37,0.0888507815093235
C2orf80,0.0895192665779754
RN7SL569P,0.0901762640869368
CHGA,0.0904967365825713
HEPACAM,0.091210203141621
SCMH1,0.0915287617459414
GNAZ,0.0918387421956308
FAM43A,0.0921091287974451
TXK,0.0929884210764388
ZNRF2,0.0936535967975599
SLC25A25,0.0936535967975599
CHI3L1,0.0938443572233144
TRIM35,0.0940770193375648
DDX60L,0.0943041394514418
VIT,0.0947662864553536
AC107294.2,0.0957856027615304
RSPH1,0.0958319980761793
SYTL2,0.0973941853412131
IDH1,0.0976321941730753
AC004877.1,0.0987695709793462
SLC8A3,0.0987695709793462
AC061992.1,0.0987695709793462
PSTPIP1,0.0992431283823436
SNAP25-AS1,0.0992833602027256
LINC01635,0.0992833602027256
SGSM1,0.0993463274662886
GABBR2,0.0993463274662886
BIRC3,0.100022512033336
SEPT10,0.100689959055267
TNFRSF21,0.101046471018134
RMST,0.101167232668905
TXNIP,0.101428122904449
CEACAM1,0.10182439567279
KCNMA1,0.102103332905015
CTNNA2,0.102297194977238
SQOR,0.102306656784176
MCM5,0.102445914652306
DDX39A,0.102871607366482
SYT13,0.103057324701782
PRKCD,0.103322838723494
SLC4A4,0.104504938071481
VAMP8,0.104719509388413
TMEM179,0.105002920355752
HOXB9,0.105002920355752
SH3BGRL3,0.105002920355752
CMTM4,0.105002920355752
SGK2,0.105002920355752
AC068587.4,0.105002920355752
LRP1,0.105002920355752
NPY2R,0.105002920355752
ABT1,0.105002920355752
DPP10,0.105002920355752
COL2A1,0.105781629440816
ATF3,0.105781629440816
TUBB4A,0.107082885463584
SHROOM1,0.108430707784666
DLGAP1-AS1,0.108441762611148
GOLGA8O,0.108441762611148
CYTOR,0.10888755467388
CCR5,1.0
KIAA0930,0.111941397748584
B3GLCT,0.113222717584068
SCGB1A1,0.113242373181865
ALPK2,0.113242373181865
LINC02062,0.114274386861652
RNF213,0.114552390153796
TMED8,0.114552390153796
IQGAP3,0.11494555259656
PARP15,0.11510506274996
CD47,0.116246685041246
AC010319.3,0.116601107911453
ITFG1,0.116699972587326
ADGRA1,0.116699972587326
ARFGEF3,0.116799944371923
PIK3IP1,0.116799944371923
YAP1,0.117070525930668
INTS4,0.117070525930668
TINF2,0.117070525930668
APOBEC3C,0.117159236608613
ELAC2,0.11729449660591
SNORD3A,0.117326161818378
HAUS6,0.11739374291824
CGAS,0.117444652611464
FLOT2,0.119424062124319
SEPT1,0.120075318715155
ADGRE5,0.120075318715155
VGLL4,0.120075318715155
CFAP52,0.120718551532407
SCLT1,0.120978921350494
TMEM196,0.12132511983107
GFRA1,0.121374036009482
PKDCC,0.121982360965008
ADAMTS2,0.121982360965008
ATXN1,0.122177307246881
APOL2,0.122177307246881
PTCH2,0.122177307246881
SLIT1,0.123746106181284
RAB27A,0.123915631219336
SLC35G6,0.12529829152781
WIF1,0.12594300373756
SEMA4B,0.126143420210255
COX6B2,0.126143420210255
HSPB1,0.126143420210255
SMG8,0.126143420210255
PCDHGA4,0.126478480184582
TDP1,0.126626631386346
C19orf81,0.126626631386346
TTC6,0.129172948396664
MAN1C1,0.129304717397315
AC010332.1,0.130296697300691
GRM7,0.130309455266004
DGKK,0.130779676360068
EVX2,0.131118463360596
NEBL,0.131118463360596
AC007731.2,0.131886226823052
KLF6,0.132030340494851
TRIM14,0.132255452531263
AC119403.1,0.132799777916796
DLX1,0.13283131610691
NHS,0.133443492216172
CD79B,0.13347750204275
AL445645.1,0.13347750204275
NIPAL1,0.133523658521973
TGIF2,0.134013355327983
IGSF1,0.134013355327983
TRIM25,0.134431449018892
PLSCR1,0.136207413491258
SYN2,0.137193385646924
PM20D2,0.137257852903014
SERPINB1,0.137257852903014
RNF24,0.137551686274617
RSPO1,0.137551686274617
CDH8,0.137904978139246
RHOU,0.138101780746121
TMEM255B,0.138226074921243
RHBDF2,0.138680328664767
ASTN1,0.139432663645716
RNF220,0.14073628942341
EPHA7,0.14073628942341
HAVCR2,0.142084219713028
CRH,0.142084219713028
SIPA1L1,0.142084219713028
TMEM150C,0.142288744575465
GLP1R,0.142288744575465
GRM4,0.142288744575465
EPB41L1,0.142288744575465
MRPL4,0.14312019646125
CKAP2,0.143414663656177
LRRC37A11P,0.143414663656177
RGS9,0.144689486194061
CGNL1,0.145689283860944
IL6ST,0.145689283860944
ZNF726,0.145689283860944
AL353147.1,0.145710463442009
MXI1,0.146672132253429
CXXC4,0.149107476486051
RPA2,0.149234340597307
GADD45A,0.150345469529787
CARD8-AS1,0.150345469529787
NSG1,0.150345469529787
NAMPT,0.150345469529787
KIF20A,0.150345469529787
GIMAP8,0.150345469529787
DDX58,0.150345469529787
NBPF14,0.151670825782067
CRY1,0.153510764122832
SNN,0.154367753535944
UQCR11,0.155584557765046
ERAP1,0.156994206351326
C2orf72,0.157470192320234
RARRES3,0.157920886734283
ACTC1,0.158121384701186
STK10,0.158206754037972
LRMP,0.158387999293757
SOWAHC,0.158399476833127
DSC2,0.158422170816516
TRAF3IP2,0.15932040415015
MXRA7,0.159351600637203
ZMYND11,0.159351600637203
AC005034.2,0.159351600637203
NEK3,0.161049376961762
APBB2,0.161467592761822
MAPT,0.162419242191404
ADD3,0.162467418477988
RGS16,0.162467418477988
LFNG,0.162879850613024
HSDL1,0.163791807745077
AC141586.3,0.164046037711931
C12orf75,0.164225694322888
GPRIN2,0.164225694322888
ZFAND2A,0.164225694322888
SNTB2,0.164225694322888
ADGRD2,0.164225694322888
CACNG8,0.164407652540774
IDS,0.164407652540774
PPIP5K2,0.164505641743502
HSPB8,0.164505641743502
TRGV9,0.164719708162942
ARHGAP36,0.164719708162942
CRIM1,0.166280947015441
SYNE2,0.167443827387646
LPXN,0.16796541972407
TRAV17,1.0
NOD1,0.1681496305179
TCF7,0.168227837595744
KLKP1,0.168907920555276
CPNE8,0.169274682879722
PPP1R18,0.169274682879722
KREMEN1,0.169274682879722
IFT57,0.170275791761667
FAM163A,0.170777484699979
CDCP1,0.170777484699979
IGFBP5,0.171238208144157
RFC2,0.171725786565872
MMP10,0.171725786565872
MVP,0.173486674041808
SNHG28,0.173491005380059
ITGB4,0.173729209172527
PRICKLE1,0.17421664217925
AL133367.1,0.175148133435486
SIPA1,0.175258207083428
FOLH1,0.175296775554994
GON4L,0.175731089847682
AL512625.3,0.176326191955111
MAOA,0.176326191955111
AJAP1,0.176637494138625
PYHIN1,1.0
RBM11,0.176968315138881
RNF152,0.176968315138881
HOXC4,0.176968315138881
GSTT4,0.177489378892053
AC012065.3,0.177841933439449
CAMKK1,0.177841933439449
ZNF470,0.179626160093183
RXRG,0.179626160093183
STOM,0.179878861099198
MOXD1,0.179931179975642
AC087276.2,0.181239366814594
APPL2,0.181517075347516
GLIPR1,0.183128729122037
VTN,0.183278030379956
PPY,1.0
CD40LG,1.0
TSTD1,0.186081000947946
TMEM255A,0.186621656287421
HECTD3,0.186621656287421
CCR2,1.0
AOAH,0.187124029765507
DRAM1,0.188398432698575
KC877982.1,0.188398432698575
GOLM1,0.188398432698575
TSPAN2,0.190407325086376
SLC6A7,0.190865938218841
TMEM238,0.191070942577375
ADRA2A,0.191247533384209
TRAF1,0.191247533384209
CYB5R4,0.192408531519468
CDH6,0.192538416958179
SYCE1L,0.192693415423262
GGCT,0.193280842412622
DNAJB1,0.193280842412622
BCL2L13,0.193938862657037
P2RY1,0.194398243684139
NANOS1,0.194398243684139
AC078883.2,0.194430748428869
TH,0.195051883054643
DLGAP2,0.195680977600453
SERPINE1,0.195680977600453
IGSF8,0.195680977600453
AC004554.2,1.0
ESRRA,0.196665242367797
AC004656.1,0.196863668411139
AC023301.1,0.197627079729601
BMP2,0.198254801983605
ARHGAP22,0.198352465653171
MYH3,0.200527664181087
FMN2,0.200833807631833
AC026780.2,1.0
GPR55,0.201197449112003
TRGC2,1.0
MCUB,0.201197449112003
NFKB1,0.201197449112003
AL121985.1,0.201197449112003
FAT3,0.201197449112003
FUT11,0.201739893979152
FBLN5,0.202529465958769
ASAP2,0.203925535004004
MATN2,0.204471131293488
GABRE,0.206592861997247
AC116366.1,0.207563434773213
AC012603.1,0.208133444370583
AC015656.1,0.208133444370583
DYNC1I1,0.208133444370583
VCAM1,0.208610805644029
MAFF,0.2091869727594
PIK3R5,0.21062242769859
IFI44,0.21062242769859
CCDC71,0.21062242769859
SKIV2L,0.211792976942152
AC012354.1,0.211792976942152
LINC00426,0.212339113917694
AL117344.1,0.212339113917694
TSPAN15,0.212339113917694
DSPP,1.0
RMDN2-AS1,0.213807155860448
MUC5B,0.21386036077545
SUSD1,0.21412345432118
STK39,0.214286416377473
KCNQ2,0.214645205463262
HAND2,0.215313732239057
NBN,0.21585862174708
AP000894.2,0.218216435183769
ADAM33,0.218472198292218
ASPH,0.218484179417374
GCNT3,0.218981839221945
CSPG5,0.22070627690866
DENND5B,0.220908835722766
PCDH10,0.221502889108676
DUSP3,0.223987431185396
WDSUB1,0.224282288997405
COCH,0.224452616899297
MFAP2,0.224452616899297
PXDNL,0.224452616899297
TOP2A,0.224652895651777
BECN1,0.225206032207528
OSBPL3,0.225206032207528
TFAP2B,0.225488161493396
TRIL,0.226087956615623
PDE4A,0.226579619989784
NR4A2,0.226838543395719
ZNF831,0.227044098918741
ADCY9,0.227044098918741
RASIP1,0.227044098918741
PDE4DIP,0.227371840208302
PFKFB4,0.229422144841825
FAM230B,0.229422144841825
