gene_name,padj
STAT1,7.09341817217372e-284
B2M,9.68198337439759e-225
HLA-E,4.36958232405441e-136
HLA-C,2.9050279572382e-125
TAP1,1.62702898999451e-124
APOL6,9.58148134411709e-112
GBP2,2.304217423395e-107
NLRC5,9.69328277092302e-103
BST2,2.44401066996682e-93
BTN3A2,6.28668194356579e-83
HLA-A,8.09034619535358e-79
IFI6,5.95899155298557e-66
PRPH,9.06313470243602e-65
LAPTM5,1.07567636871678e-63
SERPING1,4.4012649326271e-61
IFITM3,2.52782844000788e-60
GBP3,1.66383062981404e-59
WARS,3.24146413246694e-59
BCAN,1.86797881687267e-57
SPON1,1.76464229095933e-53
ICAM1,1.5727617032097e-51
SOCS3,6.45275442323029e-50
IRF1,6.79506779749317e-50
PSMB9,2.40574589064038e-48
IFI16,3.02831966779892e-47
VGF,8.1554376405142e-47
COL1A1,9.63307918483426e-47
IFIT2,6.09507036178115e-46
IFIT3,5.63175782556379e-45
COL3A1,9.0040632444007e-43
IL32,5.23821655919302e-41
CD6,6.20120397273284e-41
ITIH5,1.75699124218052e-40
SYTL3,2.6365975263032e-40
GBP5,1.53033900841041e-39
HLA-B,4.12241221854117e-39
BTN3A1,4.14068949604832e-39
MYO1G,5.44758065701174e-39
ATP2A3,4.1236973942836e-37
HCP5,7.70072429453289e-37
ITGB2,9.8405985273324e-37
BTN3A3,5.72326538834708e-36
CD7,1.77164612264149e-35
PGGHG,1.20671279504606e-34
LCP1,1.62178029529136e-34
PSMB8,7.22096270267124e-34
BCL6,1.02183231889217e-33
GZMB,1.35664188837032e-33
HCLS1,2.12334839436884e-33
TRIM22,1.18545391560829e-32
DTX3L,2.69799376559897e-32
ZAP70,5.6178028040308e-32
ITGAL,1.71849024983845e-31
IFI44L,5.47791033526325e-31
FMNL1,2.92219884513597e-30
IKZF1,6.33799833841007e-30
FXYD5,9.77961210916239e-30
ACAP1,4.48905496910364e-29
TNFRSF1B,8.65748671024524e-29
VCAM1,2.05139376929068e-28
TCF7,2.13129121849117e-28
S100A4,3.11130410194144e-28
DDX60,1.33304514867739e-27
NCKAP1L,4.37251290910675e-27
RUNX3,5.81196659145779e-27
CD44,6.82004596346885e-27
SELPLG,2.26617088241991e-26
DEF6,8.57147508654108e-26
TRAF1,2.52705883874633e-25
SOX10,3.10871188821788e-25
PARP14,9.81810583876158e-25
OAS3,1.11083761502528e-24
CD37,2.17057497026652e-24
TRIM69,3.37821179099848e-24
SH2D2A,4.36187818796779e-24
CD4,6.93383932110479e-24
ARHGDIB,9.46141477739122e-24
RARRES3,1.01968568768813e-23
NTRK2,1.0227507526691e-23
PARP9,3.64907835445232e-23
PEA15,3.78199920474761e-23
MX1,4.21606142674988e-23
GMFG,4.37305333531065e-23
ATP1A2,4.67257874909079e-23
LSP1,4.7830046848456e-22
CD27,1.2124469019794e-21
HLA-F,2.75645658387781e-21
RAC2,2.98989944348438e-21
CTSW,5.18654080824149e-21
GNLY,6.44340988081448e-21
TMC8,6.72069325081571e-21
F5,1.40629920818464e-20
IL16,1.68890271063706e-20
MYO1F,2.74223748647937e-20
IRF4,3.09075394576605e-20
PSRC1,5.65666537431683e-20
CXCL10,7.11385567777499e-20
SP100,7.761854927978e-20
TNFRSF14,7.99428465353934e-20
COL2A1,1.22644005414926e-19
NTN1,1.92231574162003e-19
ADAMTS2,2.29682812735243e-19
TAP2,4.23227907479809e-19
ITGB7,4.42525928939446e-19
GPSM3,4.62848558003327e-19
ARHGAP45,4.8280524992825e-19
OTX2,5.75680838353172e-19
P2RY8,6.9840837643709e-19
DOCK8,7.23206739843146e-19
RFX4,7.49960866500952e-19
SLIT1,1.11103843934966e-18
CLEC2D,2.38232221363963e-18
ISG15,2.86161431120194e-18
LAP3,2.93307685995348e-18
SELL,3.33698136422939e-18
IFITM1,3.33698136422939e-18
UBE2L6,3.98741506624931e-18
SLA,5.25759268931468e-18
PTPN22,9.07777569789394e-18
SBNO2,1.26503711434969e-17
SLA2,1.48091339669169e-17
EFNB3,1.88138680064875e-17
TTYH1,2.23443258796825e-17
ITM2A,2.60941370486418e-17
ZC3HAV1,4.36615468468305e-17
XAF1,5.4647167712828e-17
TRAC,7.10539030787786e-17
AQP3,1.09937455759781e-16
TMEM173,1.56486683809453e-16
SAMD9L,2.01675413528002e-16
CTSS,2.59599358031704e-16
NLRC3,5.72549612293947e-16
TRIM38,6.00126551842036e-16
CDON,6.08064998879825e-16
UBA7,6.34113429876005e-16
CASP1,8.92133064175948e-16
C1R,9.13735555394812e-16
HELZ2,9.18973054067018e-16
ARHGAP4,9.39995688400069e-16
CD74,1.03139727174153e-15
IFITM2,1.38430099698585e-15
PARP10,1.47490779661111e-15
COL23A1,1.47951602378643e-15
SEPT1,1.5725598784227e-15
APOL2,3.17638878157286e-15
TAPBP,3.58635169131576e-15
RGS1,3.77147852283529e-15
THEMIS,4.70340728122852e-15
PSMB8-AS1,9.00461825815016e-15
TMEM130,9.43084804808409e-15
APOL1,9.64555240850741e-15
BIRC3,1.47228229754381e-14
APOL3,1.85798957734993e-14
ALOX5AP,2.04378108576419e-14
LAG3,2.12764744333407e-14
PAX7,2.22654133777084e-14
CCL5,2.66633080682594e-14
AC008105.3,2.81135079860449e-14
SAMD9,2.91557101625964e-14
P4HA1,3.07532790726333e-14
ICAM3,3.1405293615824e-14
ALCAM,3.86065853769344e-14
FZD5,5.09983738078119e-14
KLHL6,7.27302005977496e-14
SYTL2,7.59955884437968e-14
ARHGAP9,8.47094685769117e-14
NEAT1,8.53006752388413e-14
OSMR,8.754028282124e-14
TENT5C,1.11706517977506e-13
NDRG1,1.11706517977506e-13
SLFN5,1.24201641020623e-13
SHISA6,1.24505710255519e-13
ENPP2,1.37432909468601e-13
BNIP3,1.40792783373547e-13
DPP4,1.48691901488802e-13
PTPN6,1.48691901488802e-13
DOCK10,1.55335042181001e-13
LIPG,1.70391658122617e-13
MAOB,1.98304226987303e-13
TIMP3,2.09772840732257e-13
SCUBE1,2.14170257046972e-13
STAT4,2.76499045226714e-13
TAC1,3.91847763665304e-13
CIITA,4.35199864833058e-13
BAIAP3,7.75103701022029e-13
GSDMD,9.20162634723485e-13
SPN,1.03504044597341e-12
PRKCH,1.09031016025963e-12
TRBC2,1.12299564983249e-12
IL10RA,1.12830241693149e-12
RPS4Y1,1.20923701681425e-12
DCHS2,1.23774667051262e-12
TMEM140,1.36036880013754e-12
FAM78A,1.44861802842528e-12
CCR4,1.50335071910949e-12
IL12RB2,1.5760119979973e-12
CDH19,1.70124874252703e-12
IFI44,2.16308024323385e-12
APOBR,2.16308024323385e-12
CD3E,2.21995199701345e-12
ARHGAP15,3.03237468341842e-12
APOL4,3.03237468341842e-12
KCNAB2,3.23674219237601e-12
LTB,3.58041653948714e-12
SH2D1A,3.62991862210939e-12
CD36,4.08039233643425e-12
NMI,4.28420621917007e-12
IFIH1,4.4128672100439e-12
KLHDC8A,4.72837011957195e-12
CD2,4.86330571640458e-12
PLAC8,5.02577878413019e-12
CCL2,5.10632278805702e-12
ARHGEF1,5.41211580254228e-12
CHGB,6.18497103781423e-12
OPCML,6.53023116436424e-12
JAML,6.90118979054702e-12
CRYBG1,7.61770627445925e-12
PSD4,8.17789310013504e-12
CD52,8.85177489576589e-12
IL2RB,9.96729115769231e-12
CARD11,1.2580459708688e-11
CD48,1.33331556642194e-11
SIPA1,1.44361494800846e-11
TNFAIP8,1.5808853848228e-11
LRP2,1.5808853848228e-11
CSPG5,1.92434966028175e-11
RASSF5,1.98899461646954e-11
PSTPIP1,2.19770076329202e-11
LCK,2.73322285533705e-11
LGALS3BP,2.95458208646471e-11
PIK3CD,3.11511651848147e-11
DDX3Y,3.11744378739853e-11
RHOH,3.31391209887293e-11
JUNB,3.38600076517238e-11
CD5,3.38845775038427e-11
CNN2,3.46808701381026e-11
ALPK2,3.60243181590175e-11
FCMR,3.80019032291179e-11
C12orf75,4.42986084960035e-11
SLFN13,4.57776152368748e-11
GVINP1,6.13881718525766e-11
GIMAP4,6.49319030706986e-11
APOBEC3G,6.76145512869281e-11
CASP4,6.80866262688539e-11
GZMA,6.84823440320554e-11
LCP2,7.62353056968547e-11
ACSL5,8.04072556868779e-11
SLC6A1,9.52076873477808e-11
LZTS1,9.58005409257689e-11
DOCK2,1.09254757945408e-10
ADGRG6,1.2912726022509e-10
HLA-DRA,1.30224460552188e-10
OAS1,1.33341958872422e-10
CD3D,1.33549492736279e-10
APOBEC3C,1.41729734308883e-10
FERMT3,1.55858295392161e-10
PSME1,1.88798465624923e-10
ST6GALNAC3,1.92017150402335e-10
IFI27,1.94205955156658e-10
CD226,1.97134136121096e-10
VEGFA,2.12592287239199e-10
VMP1,2.12592287239199e-10
SASH3,2.2612609615208e-10
CD96,2.266943882966e-10
HCST,2.30126458562483e-10
EPSTI1,2.34031499676695e-10
TRBC1,2.35167915949325e-10
LGALS1,2.72556076372006e-10
SAMSN1,3.18558400616738e-10
SLC15A3,3.18558400616738e-10
RAB3B,3.18877941322274e-10
CYTIP,3.31767806439515e-10
CD8B,3.36854180574844e-10
IFI35,3.83352145080216e-10
ZFP36L2,4.18176641291328e-10
CD53,4.71354007709805e-10
ITK,5.06070263095479e-10
CXCL9,5.78074600170584e-10
SRGN,5.78074600170584e-10
FYB1,6.32652307360233e-10
PDK4,6.45035566235522e-10
GZMM,6.80654521353709e-10
CYTH4,6.87475292326123e-10
TRIM14,6.98626256523039e-10
SP110,7.20690360440283e-10
TGM2,7.4991665547934e-10
GPR171,8.09450567640777e-10
MYB,9.01190019070137e-10
LAMA4,9.21047466281068e-10
GBP4,1.09705785229414e-09
DGKK,1.19480714703493e-09
TRAF3IP3,1.19696690823177e-09
RASAL3,1.30359703106597e-09
MAN1C1,1.33127882166602e-09
C8orf34,1.39675478151883e-09
IL7R,1.52231939053265e-09
ADCY2,1.60181215327861e-09
AKNA,1.61667751996544e-09
GBP1P1,1.69915355687412e-09
CST7,1.75447670970813e-09
IL2RA,1.84017273985996e-09
TRIM21,1.88253716196243e-09
BAALC,1.95033766420003e-09
DACT2,2.04521138164986e-09
EMB,2.50442879123831e-09
IL2RG,2.52055838213542e-09
GIMAP6,2.57861388950914e-09
FABP5,2.6913715999858e-09
ANGPTL2,2.75785927218665e-09
ADGRE5,2.90817775160281e-09
BATF2,2.9539713311578e-09
IL4R,3.00097915221124e-09
FGFR3,3.07467413055506e-09
DDX60L,3.11053334176981e-09
ARHGAP25,3.60519354576386e-09
FAM129A,3.70356963224885e-09
CTSC,3.842884006672e-09
NNMT,3.842884006672e-09
PIK3R5,3.93856686244288e-09
IL21R,4.02483685771229e-09
C11orf21,4.24904585509787e-09
RGS10,4.61340302982052e-09
ENC1,4.62462124892482e-09
PLXDC2,5.23290176220802e-09
ERAP2,5.34738886506258e-09
SIRPG,5.34738886506258e-09
GALNT15,5.42740903472476e-09
PAX3,5.42740903472476e-09
SNX20,5.85000895516427e-09
TPPP,5.92590521726352e-09
ADA2,6.34061455527918e-09
STAT3,6.95665010476392e-09
SLC4A4,7.11726419066926e-09
LRMP,7.14046485878835e-09
PTGER4,7.15487805316957e-09
APBB1IP,7.40214634227564e-09
SP140,7.63356744708639e-09
GYPC,8.40202436635941e-09
ECEL1,8.68461551179215e-09
FLI1,9.1711925405204e-09
TNFRSF4,9.4921585542285e-09
KDM5D,9.58147327374787e-09
MYL12A,1.00981441486109e-08
SKAP1,1.03409480006643e-08
HS3ST3B1,1.17194763384158e-08
ABI3,1.26435430853802e-08
PTPN7,1.26552383254623e-08
OAS2,1.27774722240435e-08
AOAH,1.31598409832669e-08
TTC3,1.39179161313083e-08
HLA-DOA,1.43213620258783e-08
UBASH3A,1.43321468956255e-08
CD84,1.48699387483872e-08
ETS1,1.49236415703744e-08
RCSD1,1.52063447310836e-08
GALNT10,1.60028712927587e-08
SIT1,1.60028712927587e-08
GIMAP7,1.60028712927587e-08
MX2,1.62613137405727e-08
GFI1,1.64837217808653e-08
LIMD2,1.68706946972416e-08
NID1,1.76449060339432e-08
SLAMF7,1.81075415723394e-08
KCTD12,1.85636055700714e-08
ABCA8,1.89353281664295e-08
PECAM1,2.0583234857814e-08
CSF1,2.30829063277726e-08
ANO9,2.38051392726122e-08
FGF13,2.62740326841116e-08
TESPA1,2.66089291125977e-08
DBX1,3.03568461397697e-08
SEMA5A,3.12518115679042e-08
NEBL,3.12944483130898e-08
ZNF217,3.25139744944729e-08
ARFGEF3,3.33678438168062e-08
FGFBP3,3.38863538028482e-08
NNAT,3.7553572796722e-08
HSH2D,3.83542494194855e-08
TRIM25,4.17423481150428e-08
LINC02446,4.34204639072206e-08
AC125611.4,4.3524531447703e-08
ERAP1,4.38343254456969e-08
DSG2,4.99743410826552e-08
RGMA,5.48987098275894e-08
DAPP1,5.54281129762544e-08
SLC9A3R1,5.58981972659718e-08
FAM162A,5.69311326863568e-08
LPXN,5.74944693029899e-08
TNFRSF1A,5.74944693029899e-08
WNK2,5.74944693029899e-08
SLFN11,6.15460949194094e-08
EVI2B,6.69379905826092e-08
PLSCR1,7.18941428065945e-08
WAS,7.57836981308644e-08
TIGIT,7.65023027507184e-08
TBX18,8.18650013737289e-08
IL13RA1,8.27032168428204e-08
TNFAIP3,8.31779720585482e-08
TBC1D10C,8.49072476151431e-08
CRISPLD1,8.49072476151431e-08
PLEKHA2,8.50410303502437e-08
DTHD1,8.62897172993138e-08
CD3G,9.68107172350887e-08
STK17B,9.68107172350887e-08
