,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,0.3684738955823293,0.3393416927899687,,0.22902097902097904
AATK,,,0.3700228652527005,
ABCA3,0.3684738955823293,,,
ABCA8,0.3684738955823293,0.3393416927899687,,0.22902097902097904
ABCB6,,0.3393416927899687,0.3700228652527005,
ABHD3,,0.3393416927899687,,
ABI1,0.3684738955823293,,,
ABI2,,0.3393416927899687,0.3700228652527005,
ABI3,,0.3393416927899687,0.3700228652527005,
ABI3BP,0.3684738955823293,,0.3700228652527005,
ABL1,0.3684738955823293,,,
ABR,0.3684738955823293,,,
ACAN,0.3684738955823293,0.3393416927899687,,
ACKR1,0.3684738955823293,,0.3700228652527005,
ACKR3,,0.3393416927899687,,
ACP2,0.3684738955823293,,0.3700228652527005,
ACTA2,0.3684738955823293,,0.3700228652527005,
ACTB,,,0.3700228652527005,
ACTC1,0.3684738955823293,,,0.22902097902097904
ACTG2,,0.3393416927899687,,
ACTN1,,0.3393416927899687,0.3700228652527005,
ACTN2,,,,0.22902097902097904
ACTN3,0.3684738955823293,,,
ACTN4,0.3684738955823293,0.3393416927899687,0.3700228652527005,
ACVR1,,0.3393416927899687,0.3700228652527005,
ACVR1C,0.3684738955823293,,,0.3705050505050505
ACVR2A,,0.3393416927899687,0.3700228652527005,
ACVR2B,,0.3393416927899687,,
ADA,,,,0.3705050505050505
ADAM10,0.3684738955823293,,0.3700228652527005,
ADAM11,0.3684738955823293,,0.3700228652527005,
ADAM17,0.3684738955823293,0.3393416927899687,0.3700228652527005,
ADAM19,0.3684738955823293,0.3393416927899687,0.3700228652527005,
ADAM20,0.3684738955823293,,,
ADAM22,,0.3393416927899687,0.3700228652527005,
ADAM23,0.3684738955823293,0.3393416927899687,,
ADAM28,,,0.3700228652527005,
ADAM33,0.3684738955823293,,,0.22902097902097904
ADAM9,0.3684738955823293,,0.3700228652527005,
ADAMTS1,0.3684738955823293,0.3393416927899687,,
ADAMTS10,0.3684738955823293,,,
ADAMTS12,0.3684738955823293,0.3393416927899687,,
ADAMTS13,,,0.3700228652527005,
ADAMTS14,,0.3393416927899687,,
ADAMTS18,0.3684738955823293,,0.3700228652527005,0.22902097902097904
ADAMTS4,0.3684738955823293,,0.3700228652527005,
ADAMTS5,,0.3393416927899687,,
ADAMTS7,0.3684738955823293,0.3393416927899687,0.3700228652527005,
ADAMTS8,0.3684738955823293,,,
ADAMTS9,0.3684738955823293,,0.3700228652527005,
ADAMTSL3,0.3684738955823293,,0.3700228652527005,
ADAMTSL4,,,0.3700228652527005,
ADCY2,0.3684738955823293,,,
ADCY7,,0.3393416927899687,,
ADCY8,0.3684738955823293,,0.3700228652527005,
ADCY9,,,,0.22902097902097904
ADCYAP1,0.3684738955823293,,,
ADCYAP1R1,0.3684738955823293,,0.3700228652527005,
ADD2,0.3684738955823293,,0.3700228652527005,
ADD3,0.3684738955823293,,,0.22902097902097904
ADGRA1,,0.3393416927899687,,0.22902097902097904
ADGRA2,,,0.3700228652527005,
ADGRB1,,0.3393416927899687,,
ADGRB3,,0.3393416927899687,0.3700228652527005,
ADGRG1,0.3684738955823293,0.3393416927899687,,
ADGRL1,,0.3393416927899687,,
ADIPOR1,0.3684738955823293,,,
ADM,,0.3393416927899687,0.3700228652527005,
ADRA2A,,,,0.49522952295229516
ADRB1,0.3684738955823293,,0.3700228652527005,
ADTRP,,0.3393416927899687,,
AEBP1,,,0.3700228652527005,
AFDN,,0.3393416927899687,0.3700228652527005,
AFF2,,0.3393416927899687,,
