,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
AFF3,0.3684738955823293,,0.3700228652527005,
AGAP2,0.3684738955823293,,,
AGPAT3,,,0.3700228652527005,
AGRN,0.3684738955823293,,0.3700228652527005,
AGT,,,0.3700228652527005,
AGTR2,0.3684738955823293,,,
AIF1,,0.3393416927899687,0.3700228652527005,
AJAP1,,,,0.3705050505050505
AKAP12,0.3684738955823293,,,
AKR1C1,0.3684738955823293,0.3393416927899687,,
AKT2,0.3684738955823293,,,
ALCAM,,0.3393416927899687,0.3700228652527005,
ALG3,0.3684738955823293,,,
ALOX5AP,,0.3393416927899687,0.3700228652527005,0.22902097902097904
ALOXE3,0.3684738955823293,,0.3700228652527005,
ALS2CL,0.3684738955823293,0.3393416927899687,,
AMIGO2,0.3684738955823293,0.3393416927899687,0.3700228652527005,
AMMECR1,0.3684738955823293,,0.3700228652527005,
ANGPT1,0.3684738955823293,0.3393416927899687,,
ANGPTL2,,0.3393416927899687,0.3700228652527005,
ANGPTL4,,,0.3700228652527005,
ANK1,0.3684738955823293,0.3393416927899687,,
ANK3,,0.3393416927899687,0.3700228652527005,
ANKRD29,0.3684738955823293,,,
ANKRD40,,,0.3700228652527005,
ANKRD46,,0.3393416927899687,,
ANKS1A,,,0.3700228652527005,
ANO3,0.3684738955823293,0.3393416927899687,,
ANOS1,0.3684738955823293,0.3393416927899687,,
ANTXR1,,,0.3700228652527005,
ANTXR2,,,0.3700228652527005,
ANXA1,,0.3393416927899687,0.3700228652527005,
AOAH,,0.3393416927899687,,0.22902097902097904
AP1AR,0.3684738955823293,,,
APBA1,0.3684738955823293,0.3393416927899687,0.3700228652527005,
APBB1IP,,0.3393416927899687,,0.22902097902097904
APBB2,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
APC2,0.3684738955823293,,0.3700228652527005,
APLP1,,0.3393416927899687,0.3700228652527005,
APLP2,0.3684738955823293,,0.3700228652527005,
APOBEC3C,,,0.3700228652527005,0.22902097902097904
APOBEC3F,,0.3393416927899687,0.3700228652527005,
APOC1,0.3684738955823293,,,
APOD,,0.3393416927899687,,
APOE,0.3684738955823293,0.3393416927899687,0.3700228652527005,
APOL3,,0.3393416927899687,0.3700228652527005,0.22902097902097904
APOL6,,,,0.22902097902097904
APOLD1,0.3684738955823293,,,
APOM,0.3684738955823293,,0.3700228652527005,
APP,0.3684738955823293,0.3393416927899687,,
APPL2,,0.3393416927899687,0.3700228652527005,0.22902097902097904
AQP1,,,,0.49522952295229516
AQP3,,,,0.22902097902097904
ARAP1,0.3684738955823293,,0.3700228652527005,
ARAP2,0.3684738955823293,,0.3700228652527005,
ARF6,,,,0.49522952295229516
ARFGEF3,,,,0.49522952295229516
ARHGAP10,0.3684738955823293,,,
ARHGAP17,0.3684738955823293,,,
ARHGAP21,,,0.3700228652527005,
ARHGAP22,,,,0.3705050505050505
ARHGAP27,,0.3393416927899687,,
ARHGAP30,,0.3393416927899687,,0.22902097902097904
ARHGAP33,,,0.3700228652527005,
ARHGAP35,,0.3393416927899687,,0.22902097902097904
ARHGAP36,,,,0.49522952295229516
ARHGAP44,0.3684738955823293,,,
ARHGAP5,0.3684738955823293,0.3393416927899687,0.3700228652527005,
ARHGAP6,,0.3393416927899687,,
ARHGAP9,,0.3393416927899687,,0.22902097902097904
ARHGDIA,,,,0.3705050505050505
ARHGDIB,,0.3393416927899687,0.3700228652527005,0.22902097902097904
ARHGEF1,0.3684738955823293,0.3393416927899687,0.3700228652527005,
ARHGEF11,0.3684738955823293,,,
ARHGEF25,0.3684738955823293,,0.3700228652527005,
ARHGEF26,0.3684738955823293,,0.3700228652527005,
ARHGEF3,,0.3393416927899687,0.3700228652527005,0.3705050505050505
ARHGEF38,0.3684738955823293,,,
ARHGEF6,0.3684738955823293,0.3393416927899687,0.3700228652527005,
ARHGEF7,0.3684738955823293,,,
ARL10,,0.3393416927899687,,
ARNT2,,,,0.22902097902097904
ARPC1B,,,,0.22902097902097904
ARPC5L,,0.3393416927899687,,
ARRDC3,,,0.3700228652527005,
ART3,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
ARX,,,0.3700228652527005,
ASAH1,,,0.3700228652527005,
ASAP1,0.3684738955823293,,,
ASAP2,0.3684738955823293,0.3393416927899687,,0.22902097902097904
ASPHD2,,,0.3700228652527005,
ASTN1,,0.3393416927899687,0.3700228652527005,0.22902097902097904
ATAT1,,0.3393416927899687,,
ATF6,0.3684738955823293,,,
ATG13,,,0.3700228652527005,
ATL1,,0.3393416927899687,,
ATL3,,,0.3700228652527005,
ATP11C,0.3684738955823293,,0.3700228652527005,
ATP12A,0.3684738955823293,,0.3700228652527005,
ATP1A2,,0.3393416927899687,0.3700228652527005,
ATP1A3,,,0.3700228652527005,
ATP1B2,,,0.3700228652527005,0.3705050505050505
ATP1B3,0.3684738955823293,,,
ATP2A2,0.3684738955823293,0.3393416927899687,,
ATP2B2,0.3684738955823293,0.3393416927899687,0.3700228652527005,
ATP2B4,,0.3393416927899687,0.3700228652527005,
ATP6AP1,0.3684738955823293,,,
ATP6V1G2,,0.3393416927899687,,
ATP7A,0.3684738955823293,,,
ATRN,,0.3393416927899687,,
ATXN1,,,,0.22902097902097904
AUTS2,,,0.3700228652527005,
AVPI1,,0.3393416927899687,0.3700228652527005,
AVPR1B,0.3684738955823293,,,
AZGP1,0.3684738955823293,0.3393416927899687,,
B2M,,0.3393416927899687,0.3700228652527005,0.22902097902097904
B3GALNT1,,,0.3700228652527005,
B3GAT1,0.3684738955823293,0.3393416927899687,0.3700228652527005,
B3GAT2,0.3684738955823293,0.3393416927899687,0.3700228652527005,
B3GAT3,,,0.3700228652527005,
B3GLCT,,,,0.3705050505050505
B3GNT2,,0.3393416927899687,0.3700228652527005,
B3GNT5,,0.3393416927899687,,
B4GALT1,,0.3393416927899687,,
B4GALT4,,0.3393416927899687,,
B4GAT1,,0.3393416927899687,,
BAALC,,,,0.3705050505050505
BACE1,0.3684738955823293,,0.3700228652527005,
BAIAP2,,0.3393416927899687,,
BAIAP3,,0.3393416927899687,,
BBOX1,0.3684738955823293,,0.3700228652527005,
BCAM,,0.3393416927899687,0.3700228652527005,
BCAN,,0.3393416927899687,0.3700228652527005,
BCHE,0.3684738955823293,0.3393416927899687,,
BCL2L13,,,,0.22902097902097904
BCL6,,,0.3700228652527005,0.3705050505050505
BCL7A,,,0.3700228652527005,
BDKRB2,0.3684738955823293,0.3393416927899687,,
BDNF,0.3684738955823293,,0.3700228652527005,
BEX3,0.3684738955823293,,,
BEX5,,0.3393416927899687,,
BGN,,0.3393416927899687,0.3700228652527005,
BICRA,0.3684738955823293,,0.3700228652527005,
BLVRB,0.3684738955823293,,,
BMP1,,0.3393416927899687,,
BMP2,0.3684738955823293,,0.3700228652527005,0.22902097902097904
BMP3,0.3684738955823293,,0.3700228652527005,
BMP6,0.3684738955823293,,0.3700228652527005,
BMP7,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
BMPR1A,,,0.3700228652527005,
BMPR1B,,0.3393416927899687,,0.22902097902097904
BOC,0.3684738955823293,0.3393416927899687,0.3700228652527005,
BRI3BP,,,0.3700228652527005,
BRICD5,,,0.3700228652527005,
BRINP3,0.3684738955823293,,,
BRK1,,,0.3700228652527005,
BSG,,,0.3700228652527005,
BST2,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
BTN2A1,0.3684738955823293,0.3393416927899687,,0.22902097902097904
BTN2A2,,0.3393416927899687,,0.22902097902097904
BTN3A1,,0.3393416927899687,,0.22902097902097904
BTN3A2,,0.3393416927899687,0.3700228652527005,0.22902097902097904
BTNL9,0.3684738955823293,,0.3700228652527005,0.22902097902097904
C16orf45,0.3684738955823293,,,
C1GALT1,0.3684738955823293,,,
C1QL1,,0.3393416927899687,,
C1R,0.3684738955823293,0.3393416927899687,,0.22902097902097904
C1S,,0.3393416927899687,,0.22902097902097904
C1orf61,0.3684738955823293,,0.3700228652527005,
C2,,0.3393416927899687,0.3700228652527005,
C2CD2,0.3684738955823293,,0.3700228652527005,
C2CD2L,,0.3393416927899687,0.3700228652527005,
C2CD4C,0.3684738955823293,,,
C2orf68,,0.3393416927899687,,
C3,,0.3393416927899687,,0.22902097902097904
C3AR1,,0.3393416927899687,0.3700228652527005,
C4orf19,0.3684738955823293,,,
C9orf116,0.3684738955823293,,,
C9orf16,,,0.3700228652527005,
C9orf72,0.3684738955823293,0.3393416927899687,,
CA12,0.3684738955823293,,0.3700228652527005,
CACNA1A,,,0.3700228652527005,
CACNA1G,0.3684738955823293,,,
CACNA2D1,0.3684738955823293,,,
CACNA2D2,0.3684738955823293,0.3393416927899687,,0.22902097902097904
CACNA2D3,,,,0.3705050505050505
CACNG2,0.3684738955823293,,,
CACNG8,,,,0.3705050505050505
CACTIN,0.3684738955823293,,,
CADM1,0.3684738955823293,0.3393416927899687,0.3700228652527005,
CADM2,0.3684738955823293,,0.3700228652527005,
CADM3,,0.3393416927899687,0.3700228652527005,
CADM4,,,0.3700228652527005,
CALCR,0.3684738955823293,,,
CALD1,0.3684738955823293,,,
CAMK2B,,0.3393416927899687,,
CAMSAP3,,,0.3700228652527005,
CANT1,0.3684738955823293,0.3393416927899687,,
CANX,,0.3393416927899687,,
CAP2,,0.3393416927899687,,
CAPN1,,0.3393416927899687,,
CAPN15,,0.3393416927899687,0.3700228652527005,
CAPN2,0.3684738955823293,,0.3700228652527005,
CAPN3,,0.3393416927899687,0.3700228652527005,
CAPN5,,0.3393416927899687,,
CAPRIN2,,0.3393416927899687,,
CAPZA2,,0.3393416927899687,0.3700228652527005,
CARMIL2,,0.3393416927899687,0.3700228652527005,
CARMIL3,0.3684738955823293,,0.3700228652527005,
CARTPT,0.3684738955823293,,,0.22902097902097904
CASC4,,,0.3700228652527005,
CASK,0.3684738955823293,0.3393416927899687,0.3700228652527005,
CASKIN1,,,,0.49522952295229516
CASP1,,0.3393416927899687,0.3700228652527005,0.22902097902097904
CAV2,,0.3393416927899687,0.3700228652527005,
CBLB,,0.3393416927899687,0.3700228652527005,
CBLN1,0.3684738955823293,0.3393416927899687,0.3700228652527005,
CBLN2,0.3684738955823293,,0.3700228652527005,
CBLN4,,,0.3700228652527005,
CCDC191,,,,0.22902097902097904
CCDC51,,,,0.49522952295229516
CCDC80,,0.3393416927899687,,
CCDC9,,,0.3700228652527005,
CCL2,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
CCL28,,0.3393416927899687,,
CCL4,,0.3393416927899687,0.3700228652527005,
CCL5,,0.3393416927899687,0.3700228652527005,0.22902097902097904
CCM2,0.3684738955823293,0.3393416927899687,0.3700228652527005,
CCPG1,,0.3393416927899687,,
CCR1,,,0.3700228652527005,
CCR2,,0.3393416927899687,0.3700228652527005,
CCR5,,0.3393416927899687,0.3700228652527005,
CD109,0.3684738955823293,0.3393416927899687,0.3700228652527005,
CD151,,,0.3700228652527005,
CD164,,0.3393416927899687,0.3700228652527005,
CD2,,0.3393416927899687,0.3700228652527005,0.22902097902097904
CD200,0.3684738955823293,0.3393416927899687,,
CD200R1,,0.3393416927899687,0.3700228652527005,
CD22,,,0.3700228652527005,
CD248,,,0.3700228652527005,
CD27,,0.3393416927899687,0.3700228652527005,0.22902097902097904
CD274,,0.3393416927899687,0.3700228652527005,0.22902097902097904
CD276,0.3684738955823293,0.3393416927899687,0.3700228652527005,
CD300A,,0.3393416927899687,0.3700228652527005,
CD300C,0.3684738955823293,,0.3700228652527005,
CD34,,0.3393416927899687,0.3700228652527005,
CD37,,0.3393416927899687,0.3700228652527005,0.22902097902097904
CD3E,,0.3393416927899687,0.3700228652527005,0.22902097902097904
CD4,0.3684738955823293,0.3393416927899687,0.3700228652527005,
CD40,0.3684738955823293,,0.3700228652527005,
CD44,0.3684738955823293,0.3393416927899687,,0.22902097902097904
CD47,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
CD48,,0.3393416927899687,0.3700228652527005,0.22902097902097904
CD53,,0.3393416927899687,0.3700228652527005,0.22902097902097904
CD55,,0.3393416927899687,0.3700228652527005,
CD59,0.3684738955823293,,,
CD6,,0.3393416927899687,0.3700228652527005,0.22902097902097904
CD74,,0.3393416927899687,0.3700228652527005,0.22902097902097904
CD80,,,0.3700228652527005,
CD82,0.3684738955823293,0.3393416927899687,0.3700228652527005,
CD83,0.3684738955823293,,,
CD84,,0.3393416927899687,0.3700228652527005,0.22902097902097904
CD86,,0.3393416927899687,0.3700228652527005,
CD8A,,0.3393416927899687,0.3700228652527005,0.22902097902097904
CD9,0.3684738955823293,0.3393416927899687,0.3700228652527005,
CD93,0.3684738955823293,0.3393416927899687,,0.22902097902097904
CDC42,0.3684738955823293,0.3393416927899687,,
CDC42BPA,0.3684738955823293,0.3393416927899687,,
CDC42SE1,,0.3393416927899687,0.3700228652527005,
CDH10,,,0.3700228652527005,
CDH11,0.3684738955823293,,,
CDH12,0.3684738955823293,,0.3700228652527005,
CDH13,,0.3393416927899687,,0.22902097902097904
CDH15,0.3684738955823293,,,0.22902097902097904
CDH18,0.3684738955823293,0.3393416927899687,,
CDH19,,0.3393416927899687,,
CDH2,0.3684738955823293,,0.3700228652527005,
CDH22,0.3684738955823293,0.3393416927899687,,
CDH24,0.3684738955823293,,0.3700228652527005,
CDH4,0.3684738955823293,0.3393416927899687,0.3700228652527005,
CDH6,0.3684738955823293,,0.3700228652527005,0.22902097902097904
CDH8,0.3684738955823293,,0.3700228652527005,0.22902097902097904
CDH9,0.3684738955823293,,0.3700228652527005,
CDHR2,0.3684738955823293,,0.3700228652527005,
CDHR3,0.3684738955823293,,,
CDK5R1,,,0.3700228652527005,
CDON,,0.3393416927899687,0.3700228652527005,
CDS1,,0.3393416927899687,,0.49522952295229516
CEACAM21,0.3684738955823293,,0.3700228652527005,
CELSR2,0.3684738955823293,0.3393416927899687,,
CEMIP,0.3684738955823293,0.3393416927899687,,
CEP41,0.3684738955823293,,,
CER1,0.3684738955823293,,0.3700228652527005,
CERCAM,,,0.3700228652527005,
CFB,,,0.3700228652527005,0.22902097902097904
CGNL1,,,,0.3705050505050505
CHI3L1,,,,0.22902097902097904
CHI3L2,,0.3393416927899687,0.3700228652527005,
CHL1,,0.3393416927899687,,
CHRD,0.3684738955823293,,0.3700228652527005,
CHRNB1,0.3684738955823293,,0.3700228652527005,
CHST1,0.3684738955823293,0.3393416927899687,0.3700228652527005,
CISH,,0.3393416927899687,0.3700228652527005,0.22902097902097904
CKLF,0.3684738955823293,,,
CLASRP,0.3684738955823293,,0.3700228652527005,
CLCN2,0.3684738955823293,,0.3700228652527005,
CLCN5,0.3684738955823293,,0.3700228652527005,
CLDN1,0.3684738955823293,,,
CLDN19,,0.3393416927899687,,
CLDN5,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
CLEC2B,,0.3393416927899687,0.3700228652527005,0.22902097902097904
CLIC1,0.3684738955823293,0.3393416927899687,,
CLIP1,,,0.3700228652527005,
CLMN,,0.3393416927899687,,
CLN8,,0.3393416927899687,0.3700228652527005,
CLSTN1,,0.3393416927899687,0.3700228652527005,
CLSTN2,,0.3393416927899687,0.3700228652527005,
CLSTN3,,0.3393416927899687,,
CLU,,0.3393416927899687,,
CMPK2,0.3684738955823293,,0.3700228652527005,
CMTM4,,,,0.3705050505050505
CMTM7,0.3684738955823293,,0.3700228652527005,
CNKSR2,0.3684738955823293,,,
CNMD,,,,0.3705050505050505
CNNM1,,,0.3700228652527005,
CNP,,0.3393416927899687,,
CNR1,,,,0.3705050505050505
CNTF,0.3684738955823293,,,
CNTFR,0.3684738955823293,,0.3700228652527005,
CNTN1,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
CNTN2,0.3684738955823293,0.3393416927899687,0.3700228652527005,
CNTN3,,0.3393416927899687,0.3700228652527005,0.22902097902097904
CNTN4,0.3684738955823293,0.3393416927899687,0.3700228652527005,
CNTN6,0.3684738955823293,,0.3700228652527005,
CNTNAP1,,0.3393416927899687,0.3700228652527005,
CNTNAP2,0.3684738955823293,,,
CNTNAP4,0.3684738955823293,,0.3700228652527005,
COBL,,0.3393416927899687,,
COCH,0.3684738955823293,,0.3700228652527005,0.22902097902097904
COL11A1,0.3684738955823293,0.3393416927899687,0.3700228652527005,
COL11A2,0.3684738955823293,0.3393416927899687,0.3700228652527005,
COL12A1,0.3684738955823293,0.3393416927899687,0.3700228652527005,
COL16A1,0.3684738955823293,0.3393416927899687,0.3700228652527005,
COL1A1,0.3684738955823293,0.3393416927899687,0.3700228652527005,
COL1A2,0.3684738955823293,0.3393416927899687,0.3700228652527005,
COL21A1,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
COL26A1,,0.3393416927899687,,
COL4A1,0.3684738955823293,0.3393416927899687,,
COL4A2,,0.3393416927899687,,
COL4A3,0.3684738955823293,,,
COL4A5,,,,0.22902097902097904
COL4A6,0.3684738955823293,,,
COL5A1,0.3684738955823293,0.3393416927899687,0.3700228652527005,
COL5A2,0.3684738955823293,0.3393416927899687,,
COL5A3,0.3684738955823293,0.3393416927899687,0.3700228652527005,
COL6A1,,,0.3700228652527005,
COL6A2,0.3684738955823293,,0.3700228652527005,
COL7A1,0.3684738955823293,,,
COL8A2,0.3684738955823293,,0.3700228652527005,
COL9A3,0.3684738955823293,0.3393416927899687,0.3700228652527005,
COLEC11,,,0.3700228652527005,
COLEC12,,0.3393416927899687,0.3700228652527005,
COLGALT2,0.3684738955823293,,0.3700228652527005,
CORO1A,,0.3393416927899687,0.3700228652527005,0.22902097902097904
CORO1B,,0.3393416927899687,0.3700228652527005,
CORO2B,,,0.3700228652527005,
CORO6,,,0.3700228652527005,
CPA2,0.3684738955823293,0.3393416927899687,,
CPA4,0.3684738955823293,,,
CPE,,,,0.22902097902097904
CPED1,,,0.3700228652527005,
CPNE8,,,,0.3705050505050505
CPQ,0.3684738955823293,0.3393416927899687,0.3700228652527005,
CPXM2,,0.3393416927899687,,
CRB1,0.3684738955823293,,0.3700228652527005,0.22902097902097904
CRH,,,,0.22902097902097904
CRIM1,0.3684738955823293,0.3393416927899687,,0.22902097902097904
CRIPT,0.3684738955823293,0.3393416927899687,,
CRISPLD1,0.3684738955823293,0.3393416927899687,0.3700228652527005,
CRKL,0.3684738955823293,,0.3700228652527005,
CRLF1,,0.3393416927899687,0.3700228652527005,
CRLF3,,0.3393416927899687,0.3700228652527005,
CRTAM,,0.3393416927899687,0.3700228652527005,
CRYAB,0.3684738955823293,,,
CRYBG1,,0.3393416927899687,,0.3705050505050505
CRYM,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
CSDC2,0.3684738955823293,0.3393416927899687,,
CSF1,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
CSGALNACT1,,0.3393416927899687,,
CSK,,0.3393416927899687,0.3700228652527005,
CSMD1,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.3705050505050505
CSMD2,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.3705050505050505
CSMD3,0.3684738955823293,0.3393416927899687,0.3700228652527005,
CSPG5,,,,0.22902097902097904
CSRP2,,,0.3700228652527005,
CSTB,0.3684738955823293,,0.3700228652527005,
CTGF,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
CTNNA1,0.3684738955823293,,,
CTNNA2,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
CTNNB1,,0.3393416927899687,,
CTNND2,,0.3393416927899687,0.3700228652527005,
CTSB,0.3684738955823293,,0.3700228652527005,
CTSC,0.3684738955823293,0.3393416927899687,,0.22902097902097904
CTSD,,0.3393416927899687,,
CTSF,,,0.3700228652527005,
CTSH,,,0.3700228652527005,
CTSK,0.3684738955823293,,0.3700228652527005,
CTSL,,0.3393416927899687,0.3700228652527005,
CTSO,,0.3393416927899687,,0.22902097902097904
CTSS,,0.3393416927899687,0.3700228652527005,0.22902097902097904
CTSZ,,0.3393416927899687,,
CTTN,0.3684738955823293,,,
CTXN3,,,0.3700228652527005,
CUZD1,0.3684738955823293,,,
CXADR,0.3684738955823293,0.3393416927899687,0.3700228652527005,
CXCL10,,0.3393416927899687,0.3700228652527005,0.22902097902097904
CXCL12,,,0.3700228652527005,
CXCL14,0.3684738955823293,,0.3700228652527005,
CXCL8,0.3684738955823293,0.3393416927899687,0.3700228652527005,
CXCL9,,0.3393416927899687,0.3700228652527005,0.22902097902097904
CXCR4,0.3684738955823293,0.3393416927899687,0.3700228652527005,
CXXC4,,,,0.49522952295229516
CXorf56,0.3684738955823293,,0.3700228652527005,
CYBA,,0.3393416927899687,0.3700228652527005,
CYP2U1,0.3684738955823293,,,
CYP4X1,0.3684738955823293,0.3393416927899687,,
CYR61,0.3684738955823293,0.3393416927899687,,0.22902097902097904
CYSTM1,0.3684738955823293,,0.3700228652527005,
CYTH4,,0.3393416927899687,0.3700228652527005,0.22902097902097904
CYYR1,,,0.3700228652527005,
DAAM2,0.3684738955823293,,,
DAB1,0.3684738955823293,,0.3700228652527005,
DAB2,,0.3393416927899687,,
DAG1,,0.3393416927899687,,
DAPP1,,0.3393416927899687,,
DBN1,,0.3393416927899687,,
DCAF15,,0.3393416927899687,,
DCBLD2,0.3684738955823293,0.3393416927899687,0.3700228652527005,
DCC,0.3684738955823293,,0.3700228652527005,
DCHS1,0.3684738955823293,0.3393416927899687,,
DCLK1,,,0.3700228652527005,
DCN,,0.3393416927899687,,
DCT,,0.3393416927899687,0.3700228652527005,
DCX,0.3684738955823293,,0.3700228652527005,
DDIT4L,0.3684738955823293,0.3393416927899687,,
DDR2,0.3684738955823293,0.3393416927899687,,
DDX58,,,,0.49522952295229516
DEPP1,,0.3393416927899687,,0.3705050505050505
DGAT1,,0.3393416927899687,,
DGCR2,,0.3393416927899687,,
DGKA,,,,0.22902097902097904
DGKH,,0.3393416927899687,,
DIAPH1,0.3684738955823293,0.3393416927899687,0.3700228652527005,
DKK1,,0.3393416927899687,,
DKK3,,0.3393416927899687,,
DLC1,0.3684738955823293,,,
DLG1,0.3684738955823293,,0.3700228652527005,
DLG3,,,0.3700228652527005,
DLG4,,0.3393416927899687,0.3700228652527005,
DLGAP2,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
DLGAP4,0.3684738955823293,,,
DLK1,,0.3393416927899687,,
DLL1,0.3684738955823293,,0.3700228652527005,
DLX1,,,0.3700228652527005,0.3705050505050505
DLX2,0.3684738955823293,0.3393416927899687,,0.3705050505050505
DMD,0.3684738955823293,,,
DNAJB2,,,0.3700228652527005,
DNASE1L1,0.3684738955823293,,,
DNER,0.3684738955823293,0.3393416927899687,,
DNM1,,0.3393416927899687,0.3700228652527005,
DNM3,0.3684738955823293,,0.3700228652527005,
DNMBP,,,0.3700228652527005,
DOC2A,0.3684738955823293,,,
DOCK10,,,,0.22902097902097904
DOCK11,,0.3393416927899687,0.3700228652527005,
DOCK3,,0.3393416927899687,,
DOCK8,,0.3393416927899687,,0.3705050505050505
DOK1,0.3684738955823293,,0.3700228652527005,
DOK3,0.3684738955823293,,,0.22902097902097904
DOK4,,0.3393416927899687,,
DOK5,,,,0.22902097902097904
DOK6,,0.3393416927899687,,0.22902097902097904
DPY19L1,,,,0.49522952295229516
DPY19L2,,,0.3700228652527005,
DPY19L3,,,0.3700228652527005,
DPYSL2,,0.3393416927899687,,
DPYSL3,,0.3393416927899687,,
DRAM1,,,,0.3705050505050505
DRD2,,0.3393416927899687,,0.22902097902097904
DRP2,0.3684738955823293,,0.3700228652527005,
DSC2,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
DSC3,0.3684738955823293,0.3393416927899687,,
DSCAM,0.3684738955823293,,0.3700228652527005,
DSCAML1,0.3684738955823293,0.3393416927899687,0.3700228652527005,
DSE,0.3684738955823293,,,
DSEL,,,0.3700228652527005,
DSP,,0.3393416927899687,,
